selection,time,C,SE_C,fitted_or_lambda_eff
driven_dt1e-3:complex,0.05,0.3878038588701139,0.0613255554241934,0.35544378197434884
driven_dt1e-3:complex,0.06,0.35933978316722726,0.05960032679107885,0.33634151684777575
driven_dt1e-3:complex,0.07,0.3318186133605511,0.057770956784081784,0.31738929207440586
driven_dt1e-3:complex,0.08,0.3039224782731995,0.05558317409292303,0.2987007565770134
driven_dt1e-3:complex,0.09,0.27824721016395826,0.05407605298121227,0.28037272244657463
driven_dt1e-3:complex,0.1,0.2557030652434278,0.05326560189828681,0.26248670268812496
driven_dt1e-3:complex,0.11,0.23514090169952306,0.05307754525877356,0.2451103539791006
driven_dt1e-3:complex,0.12,0.21565508321695953,0.05281474327123902,0.22829882680355457
driven_dt1e-3:complex,0.13,0.19805320708882507,0.05246979912272102,0.2120960256662018
driven_dt1e-3:complex,0.14,0.18238334176536003,0.051979261862418524,0.1965357823668759
driven_dt1e-3:complex,0.15,0.16850258147429675,0.05157723333487378,0.18164294553517144
driven_dt1e-3:complex,0.16,0.15515855013929414,0.05129012538371906,0.1674343897928088
driven_dt1e-3:complex,0.17,0.14283579235095378,0.05071980752702042,0.15391994803320874
driven_dt1e-3:complex,0.18,0.1311039972148112,0.049606537778025483,0.1411032703890639
driven_dt1e-3:complex,0.19,0.11943887910451378,0.04837703179750994,0.12898261350414905
driven_dt1e-3:complex,0.2,0.10906235523925166,0.04708207505355821,0.11755156373960743
driven_dt1e-3:complex,0.21,0.10045045422231086,0.04578788675971388,0.10679969793154905
driven_dt1e-3:complex,0.22,0.09160698059492205,0.04405802231969492,0.09671318527969826
driven_dt1e-3:complex,0.24,0.07630357392436381,0.041070350511871224,0.07846708541477458
driven_dt1e-3:complex,0.25,0.06955424923611798,0.03949985388601457,0.07026746116131499
driven_dt1e-3:complex,0.27,0.05806559903771308,0.03725717009721073,0.05560293158201393
driven_dt1e-3:complex,0.28,0.052028650293646006,0.03516859136290514,0.04908986685547346
driven_dt1e-3:complex,0.3,0.04197312919534959,0.03117339458772613,0.03757709635655657
driven_dt1e-3:complex,0.32,0.03464499136628246,0.02860451157787381,0.02791277709581612
driven_dt1e-3:complex,0.33,0.03214735211566349,0.027584780528393697,0.023710633553408727
driven_dt1e-3:complex,0.35000000000000003,0.025334977766547674,0.024599267129080043,0.01644311312597931
