selection,stream_order,stream_id,squared_residual_sum,q_squared_sum
driven_dt1e-3:complex,1,5,5462.971173576442,2726.463740260478
driven_dt1e-3:complex,2,15,1433.5408310778053,2789.322698466798
driven_dt1e-3:complex,3,19,751.4460767368723,1459.2120380532745
driven_dt1e-3:complex,4,22,944.7560385738063,1964.3513631060882
driven_dt1e-3:complex,5,31,1552.2172768078372,1487.1640620814655
driven_dt1e-3:complex,6,35,1108.6612735378799,2156.9168361865754
driven_dt1e-3:complex,7,36,774.9138470433456,1432.8777313286773
driven_dt1e-3:complex,8,37,858.8056435443597,1568.697014031925
driven_dt1e-3:complex,9,38,725.6306704570085,1392.1790114246128
driven_dt1e-3:complex,10,39,1013.3581469427835,1638.9946593442091
driven_dt1e-3:complex,11,41,657.2295286820486,1208.5468015951299
driven_dt1e-3:complex,12,45,809.2039265946148,1571.767913981007
driven_dt1e-3:complex,13,49,1683.5486875155111,3466.846440356445
driven_dt1e-3:complex,14,51,833.9351135507511,1272.1539769321723
driven_dt1e-3:complex,15,53,1101.8962837053577,1992.0305768019746
driven_dt1e-3:complex,16,62,1234.013692134713,4012.3162722795405
driven_dt1e-3:real,1,5,1230.5751043737616,1933.6231891324
driven_dt1e-3:real,2,15,1175.2476630046401,2041.5025574923282
driven_dt1e-3:real,3,19,1160.691775316321,1946.8812484704881
driven_dt1e-3:real,4,22,1267.4351661791707,2132.868348469523
driven_dt1e-3:real,5,31,1150.26220494585,1973.1812113496635
driven_dt1e-3:real,6,35,1230.4890911526663,2018.5275760499082
driven_dt1e-3:real,7,36,1206.0637985369024,1968.3322642899634
driven_dt1e-3:real,8,37,1198.020932657643,1999.292982415536
driven_dt1e-3:real,9,38,1275.9122895593575,2180.247003605559
driven_dt1e-3:real,10,39,1335.1852334585783,2153.0863706220593
driven_dt1e-3:real,11,41,1279.767942641627,2093.6398258694426
driven_dt1e-3:real,12,45,1228.90350467451,2058.719163899197
driven_dt1e-3:real,13,49,1277.4213866137918,2517.992500117604
driven_dt1e-3:real,14,51,1312.2244302514669,2178.234562186506
driven_dt1e-3:real,15,53,1244.9640893333965,2307.1704092470745
driven_dt1e-3:real,16,62,1205.7174741678477,1909.5001756274187
driven_dt2p5e-4:complex,1,5,1074.6199789853686,3031.5104371529023
driven_dt2p5e-4:complex,2,12,758.3082752518396,2092.2708421287543
driven_dt2p5e-4:complex,3,14,767.2078487937122,1864.9653423502582
driven_dt2p5e-4:complex,4,21,678.3185189567362,1893.1585691715757
driven_dt2p5e-4:complex,5,27,786.5230582234964,1625.2818953847743
driven_dt2p5e-4:complex,6,37,890.8931451606187,1815.7428788544507
driven_dt2p5e-4:complex,7,39,717.6391881440927,1722.3893545119322
driven_dt2p5e-4:complex,8,44,733.8511331057732,1619.5014988551313
driven_dt2p5e-4:complex,9,45,904.5128945746428,1844.4668649130977
driven_dt2p5e-4:complex,10,47,997.5423253117756,1796.5477665277217
driven_dt2p5e-4:complex,11,51,834.1097020165458,1735.8962339236036
driven_dt2p5e-4:complex,12,52,890.8382994816474,1800.373992714461
driven_dt2p5e-4:complex,13,54,763.5315023758421,1672.1618484975538
driven_dt2p5e-4:complex,14,57,737.7559345725821,1650.5876104967426
driven_dt2p5e-4:complex,15,58,827.7029082987551,1823.3223017537414
driven_dt2p5e-4:complex,16,60,838.218157016046,1575.8956783931442
driven_dt2p5e-4:real,1,5,1320.0023172233039,2331.145698350064
driven_dt2p5e-4:real,2,12,1168.073726183853,1824.3163834973384
driven_dt2p5e-4:real,3,14,1328.0052956051982,2194.1335385134207
driven_dt2p5e-4:real,4,21,1265.884531768847,2081.651289038363
driven_dt2p5e-4:real,5,27,1173.3859469437257,1804.3494212335588
driven_dt2p5e-4:real,6,37,1209.0178309845783,1967.7235588938781
driven_dt2p5e-4:real,7,39,1223.0768782252567,1811.0768852425335
driven_dt2p5e-4:real,8,44,1253.791631336927,2025.9062981672769
driven_dt2p5e-4:real,9,45,1206.002829451291,1880.9010645599137
driven_dt2p5e-4:real,10,47,1243.2316756973753,2085.8240496951476
driven_dt2p5e-4:real,11,51,1334.2107675786838,2270.2053724823345
driven_dt2p5e-4:real,12,52,1264.7970229375162,1991.2247975831235
driven_dt2p5e-4:real,13,54,1295.85363747045,1936.6156828548192
driven_dt2p5e-4:real,14,57,1437.6574161985027,2437.366868137581
driven_dt2p5e-4:real,15,58,1138.4853624075954,1875.306195832051
driven_dt2p5e-4:real,16,60,1344.5360137646671,2345.61564322963
equilibrium_dt1e-3:complex,1,2,1001.2464025077805,1854.6855203546509
equilibrium_dt1e-3:complex,2,3,708.726050839476,1569.723697857126
equilibrium_dt1e-3:complex,3,12,927.8928678457014,1733.2742970081072
equilibrium_dt1e-3:complex,4,19,1829.9849248126316,1824.3926042781936
equilibrium_dt1e-3:complex,5,23,839.1174475045668,1400.530130935636
equilibrium_dt1e-3:complex,6,30,1120.0680980390557,1530.602075084254
equilibrium_dt1e-3:complex,7,31,1051.9203704527818,2003.652573496566
equilibrium_dt1e-3:complex,8,34,2253.3716974529816,3204.406724671922
equilibrium_dt1e-3:complex,9,36,880.6547573298337,1655.820564959873
equilibrium_dt1e-3:complex,10,37,890.9640829730491,2600.087952924485
equilibrium_dt1e-3:complex,11,39,981.9927892223857,1665.8739701973361
equilibrium_dt1e-3:complex,12,43,1057.8615666498151,1729.3292570680458
equilibrium_dt1e-3:complex,13,46,1797.3262360910724,4455.528838938233
equilibrium_dt1e-3:complex,14,58,869.7056692842207,1467.0195717945858
equilibrium_dt1e-3:complex,15,61,1012.5303833524634,2031.0398250031355
equilibrium_dt1e-3:complex,16,63,1005.1421627466987,1631.0583381513115
equilibrium_dt1e-3:real,1,2,1293.6574791392868,1934.6386158260007
equilibrium_dt1e-3:real,2,3,1196.6902017236548,1998.497633219776
equilibrium_dt1e-3:real,3,12,1206.2299579345945,2152.469298930436
equilibrium_dt1e-3:real,4,19,1290.0087027559487,2335.563494920941
equilibrium_dt1e-3:real,5,23,1364.183112179613,2528.2579598808957
equilibrium_dt1e-3:real,6,30,1204.733518590188,1948.0265451978662
equilibrium_dt1e-3:real,7,31,1204.285859507882,2002.6753547583253
equilibrium_dt1e-3:real,8,34,1190.1107664832484,1860.4923785977385
equilibrium_dt1e-3:real,9,36,1275.0468583986803,2234.772393492135
equilibrium_dt1e-3:real,10,37,1247.8133413894197,1991.1969756052815
equilibrium_dt1e-3:real,11,39,1178.5657875284933,1922.3179866695887
equilibrium_dt1e-3:real,12,43,1214.4168199534734,1971.6701408025515
equilibrium_dt1e-3:real,13,46,1443.4683222397964,2527.3423317669103
equilibrium_dt1e-3:real,14,58,1210.802340946491,1969.313514822274
equilibrium_dt1e-3:real,15,61,1188.5714314480813,1932.1589507030649
equilibrium_dt1e-3:real,16,63,1267.0092072759544,2054.8671214540936
equilibrium_dt2p5e-4:complex,1,0,909.3680145546498,2029.3938031107036
equilibrium_dt2p5e-4:complex,2,1,1045.2813631300114,2132.7373939873423
equilibrium_dt2p5e-4:complex,3,2,1602.7454712065219,2337.109618169511
equilibrium_dt2p5e-4:complex,4,12,954.0806202661231,1912.145628219217
equilibrium_dt2p5e-4:complex,5,15,1114.3114818260508,2282.2290343301756
equilibrium_dt2p5e-4:complex,6,16,975.1302901296772,2050.822625042495
equilibrium_dt2p5e-4:complex,7,21,1085.5295437415634,2493.1741757819923
equilibrium_dt2p5e-4:complex,8,22,1678.6092991139817,3256.0002142448293
equilibrium_dt2p5e-4:complex,9,25,794.8135705542652,1876.6160968223105
equilibrium_dt2p5e-4:complex,10,26,1146.612668551582,2286.9721274877393
equilibrium_dt2p5e-4:complex,11,44,1004.7652490421312,2295.4280770128503
equilibrium_dt2p5e-4:complex,12,46,1013.2849352350393,2033.1176217867865
equilibrium_dt2p5e-4:complex,13,51,1261.7263375344846,2356.868137496581
equilibrium_dt2p5e-4:complex,14,52,874.2274666299977,2071.477671437696
equilibrium_dt2p5e-4:complex,15,56,926.7614161467511,2201.879023663795
equilibrium_dt2p5e-4:complex,16,57,906.1370523860817,2137.7671607686175
equilibrium_dt2p5e-4:real,1,0,1321.4265833925856,2310.5679072872135
equilibrium_dt2p5e-4:real,2,1,1313.630027947202,2122.1979756931205
equilibrium_dt2p5e-4:real,3,2,1244.3975002990596,2242.4684005778936
equilibrium_dt2p5e-4:real,4,12,1210.5157374105665,1888.8593966596782
equilibrium_dt2p5e-4:real,5,15,1265.8881122114553,2093.2528773933655
equilibrium_dt2p5e-4:real,6,16,1358.3165125945743,2348.4311596179878
equilibrium_dt2p5e-4:real,7,21,1227.2497974691923,2104.396459645285
equilibrium_dt2p5e-4:real,8,22,1323.6384134549876,2148.096763977629
equilibrium_dt2p5e-4:real,9,25,1262.5956607578653,2101.413380668945
equilibrium_dt2p5e-4:real,10,26,1297.0726012614273,2187.2527189927937
equilibrium_dt2p5e-4:real,11,44,1295.1430239210663,2160.345292344335
equilibrium_dt2p5e-4:real,12,46,1324.3571257276474,2233.466470400652
equilibrium_dt2p5e-4:real,13,51,1181.0110708120296,2043.8960613588342
equilibrium_dt2p5e-4:real,14,52,1119.0320037708707,1767.0941221891273
equilibrium_dt2p5e-4:real,15,56,1172.205511786568,1839.4883989331752
equilibrium_dt2p5e-4:real,16,57,1326.3620889993563,2268.315164004309
