epoch,phase,learning_rate,training_loss,training_nll,training_fp_loss,validation_nll
1,pretrain,0.001,8.029949921105699,8.029949921105699,13589727.829487031,7.825255701036542
2,pretrain,0.001,7.814252255490313,7.814252255490313,26981043.94608517,7.7941784942598
3,pretrain,0.001,7.790275149248393,7.790275149248393,3588031.532211123,7.7855083178497795
4,pretrain,0.001,7.786979025351275,7.786979025351275,34866406.80268845,7.783991745963355
5,pretrain,0.001,7.787246629715044,7.787246629715044,1499140076.671507,7.782961827783833
6,pretrain,0.001,7.786614785772782,7.786614785772782,4439274.772120942,7.782589681587243
7,pretrain,0.001,7.782967957046817,7.782967957046817,6011619.193786286,7.782197622688976
8,pretrain,0.001,7.787161719508784,7.787161719508784,25953844.566686343,7.781927736468549
9,pretrain,0.001,7.7857252935845045,7.7857252935845045,1808993873.3266907,7.781784931672658
10,pretrain,0.001,7.7866461073353195,7.7866461073353195,53178002.95525957,7.781927689395756
11,pretrain,0.001,7.787126306426155,7.787126306426155,1038209554.5728233,7.781280871448291
12,pretrain,0.001,7.784827923571038,7.784827923571038,28217946.460350856,7.781037913657224
13,pretrain,0.001,7.786639550403321,7.786639550403321,29561180.064366706,7.780831212648596
14,pretrain,0.001,7.781621839723653,7.781621839723653,108517514.95338354,7.780260848850603
15,pretrain,0.001,7.78373723113905,7.78373723113905,1563158981.3704221,7.7799008302335695
16,pretrain,0.001,7.784849825587379,7.784849825587379,107790000.83705796,7.779720635300919
17,pretrain,0.001,7.783502892985584,7.783502892985584,177968006770085.44,7.7795383308775525
18,pretrain,0.001,7.782709915185064,7.782709915185064,4126598.547866142,7.779415481536642
19,pretrain,0.001,7.784835480593693,7.784835480593693,6476423.358697498,7.779306761632257
20,pretrain,0.001,7.78181101147837,7.78181101147837,37427737.5843737,7.780037258196106
21,pretrain,0.001,7.7797378604046905,7.7797378604046905,296774119.7889566,7.779249093105806
22,pretrain,0.001,7.782311826520588,7.782311826520588,18664061.98348678,7.779355953396362
23,pretrain,0.001,7.78436957820198,7.78436957820198,89381393.69712304,7.779093846035276
24,pretrain,0.001,7.781970357815879,7.781970357815879,175268396561251.47,7.779014421684016
25,pretrain,0.001,7.78272483126307,7.78272483126307,37105043.864053264,7.77872149344246
26,pretrain,0.001,7.784463427379458,7.784463427379458,235537435.5536172,7.778459685097942
