epoch,phase,learning_rate,training_loss,training_nll,training_fp_loss,validation_nll
1,pretrain,0.001,7.9440304384003815,7.9440304384003815,1507794277.314156,7.786603620280586
2,pretrain,0.001,7.78065445089226,7.78065445089226,3490038.9558949303,7.767778685416455
3,pretrain,0.001,7.768857124596329,7.768857124596329,36456007.46996892,7.765148246116457
4,pretrain,0.001,7.770489203343251,7.770489203343251,2238666.4463652233,7.763130708531709
5,pretrain,0.001,7.769420259883729,7.769420259883729,2394999.903633165,7.76344098328382
6,pretrain,0.001,7.768332709948113,7.768332709948113,36606985.136926465,7.76168433143137
7,pretrain,0.001,7.765040208645714,7.765040208645714,1583820.986355711,7.761218613861142
8,pretrain,0.001,7.767766540564654,7.767766540564654,882503878.4187253,7.760518010480216
9,pretrain,0.001,7.761975229914854,7.761975229914854,56625032.40238983,7.760229110270254
10,pretrain,0.001,7.763044759844474,7.763044759844474,412843987.93378055,7.759968719081008
11,pretrain,0.001,7.762388874483028,7.762388874483028,16896455.873876438,7.759303729560666
12,pretrain,0.001,7.763104252008027,7.763104252008027,1313110.6358393782,7.758882457659896
13,pretrain,0.001,7.7591972126762725,7.7591972126762725,6119148.890126783,7.758989273167558
14,pretrain,0.001,7.7613970689835705,7.7613970689835705,2192372.388525903,7.759176773717189
15,pretrain,0.001,7.76279732494033,7.76279732494033,59607456.99758407,7.758547211019369
16,pretrain,0.001,7.762625068690151,7.762625068690151,1372426.356433737,7.758769623016521
17,pretrain,0.001,7.762748898726484,7.762748898726484,5697509.216715714,7.758695010385025
18,pretrain,0.001,7.760165868325504,7.760165868325504,8960970.927486952,7.758228673034605
19,pretrain,0.001,7.765457461329977,7.765457461329977,957746.2515256674,7.758417925342862
20,pretrain,0.001,7.762200060720905,7.762200060720905,51712154.04373687,7.758038499878473
21,pretrain,0.001,7.7625894677015905,7.7625894677015905,1110718.4218917212,7.757988258025257
22,pretrain,0.001,7.7613875136723145,7.7613875136723145,6152671.951220222,7.757780148009241
23,pretrain,0.001,7.761421040992736,7.761421040992736,394796484003.8298,7.757875675353274
24,pretrain,0.001,7.761517910499527,7.761517910499527,340453840.1303096,7.757745521738157
25,pretrain,0.001,7.763203818031828,7.763203818031828,10537168.670395045,7.7575263082314025
26,pretrain,0.001,7.759574724224008,7.759574724224008,859393.913103047,7.757759550150554
27,pretrain,0.001,7.759405359254444,7.759405359254444,1425057.535645664,7.757734773271042
28,pretrain,0.001,7.758948277059567,7.758948277059567,197838780.42872986,7.757626359638823
29,pretrain,0.001,7.760614223960764,7.760614223960764,725028.3925860316,7.757408451194603
30,pretrain,0.001,7.7615153026850745,7.7615153026850745,203961262.05105162,7.757368566398355
31,pretrain,0.001,7.762879598559797,7.762879598559797,2112117.6229028334,7.757308535543731
32,pretrain,0.001,7.759330478944726,7.759330478944726,691234.0352109072,7.757220309507616
33,pretrain,0.001,7.7599929382654524,7.7599929382654524,7592480.312020415,7.757310949694122
34,pretrain,0.001,7.761544592986347,7.761544592986347,32604549.477874998,7.758123062571018
35,pretrain,0.001,7.762045048003529,7.762045048003529,519979.660149563,7.757471482912112
36,pretrain,0.001,7.760858303769994,7.760858303769994,57350156.40889355,7.757472218670347
37,pretrain,0.001,7.759945048207494,7.759945048207494,15506492.316431416,7.757386041089654
38,pretrain,0.001,7.762208562443604,7.762208562443604,42835010.53615163,7.757489250876733
39,pretrain,0.001,7.760694439285128,7.760694439285128,2496775.930358137,7.7585624983529
40,pretrain,0.001,7.761159166149564,7.761159166149564,31212271.332377657,7.757384464870475
41,pretrain,0.001,7.761616262339871,7.761616262339871,138660138.65303612,7.757115557300853
42,pretrain,0.001,7.760905744078533,7.760905744078533,758250.0218116407,7.757371097670609
43,pretrain,0.001,7.757907435183831,7.757907435183831,495003.41171560646,7.757803690645398
44,pretrain,0.001,7.757980636876556,7.757980636876556,472543.17935503635,7.757135917159577
45,pretrain,0.001,7.760038566795557,7.760038566795557,438986.9330835087,7.757062661146878
46,pretrain,0.001,7.759204740953868,7.759204740953868,4333821.368296163,7.757536779927651
47,pretrain,0.001,7.761107502514655,7.761107502514655,3035284.5184661723,7.756703679097448
48,pretrain,0.001,7.761813207508676,7.761813207508676,477066.17633508035,7.756912039357798
49,pretrain,0.001,7.759703400618583,7.759703400618583,381753.1056603103,7.757208969301668
50,pretrain,0.001,7.759651286549154,7.759651286549154,355351.5799934429,7.756780681558864
51,joint,0.001,182610831569.11203,7.869350668078353,18261083156124.277,7.910030959507881
52,joint,0.001,44.063257999963426,7.887788524553968,3617.546947540946,7.848521398565423
53,joint,0.001,21.442181461174407,7.844438080435881,1359.7743380738525,7.829103375905278
54,joint,0.001,24.18173352143444,7.841589114804417,1634.0144406630031,7.846068211264627
55,joint,0.001,582.7447460426692,7.848409738719283,57489.63363039498,7.846929947182091
56,joint,0.001,11.764156839240577,7.845089425255503,391.9067413985079,7.845230001239383
57,joint,0.001,34.385251159442724,7.848797347030642,2653.645381241206,7.84500704502218
58,joint,0.001,24.72667818376543,7.847775640393635,1687.8902543371794,7.8461252629963685
59,joint,0.001,5006.158575529144,7.852753702994547,499830.582182615,7.8465633794726255
60,joint,0.001,29.5404098493743,7.85182119125445,2168.8588658119834,7.854126743142883
61,joint,0.001,289068.1971027452,7.8545492583384595,28906034.255348694,7.848898705586887
62,joint,0.001,203863.05636597835,7.85257655084252,20385520.37894275,7.853528966081568
63,joint,0.001,2596.8816325541056,7.85518965383438,258902.64429002712,7.86082749186433
64,joint,0.001,66.96809229033028,7.86004412281256,5910.804816751772,7.853916882427459
65,joint,0.001,4866.241947418382,7.856802677452766,485838.5144740925,7.852457748744572
66,joint,0.001,401.58030718163616,7.854222197174975,39372.608498446134,7.850749541144023
67,joint,0.001,25.559969242739385,7.85802278782771,1770.1946454911683,7.852431658316837
68,joint,0.001,11.439363649844557,7.855596555499404,358.37670943451474,7.851460857851428
69,joint,0.0005,488.24544147164636,7.853576287602348,48039.186518404385,7.853394460621309
70,joint,0.0005,18.401674673406898,7.855126872745979,1054.6547800660915,7.852387210329305
71,joint,0.0005,3023.9224137851947,7.855204314237018,301606.72094709595,7.852126738852203
72,joint,0.0005,111.51135533702319,7.856074513659634,10365.52808233636,7.852608330129052
73,joint,0.0005,10.626582017237718,7.855374781697254,277.1207235540467,7.851842486272005
74,joint,0.0005,99.01251737660739,7.853258719215523,9115.925865739187,7.8504449506398135
75,joint,0.0005,2106.74644482001,7.8576704269281645,209888.87743930804,7.85106030702113
76,joint,0.0005,169.5476561835298,7.854360822662998,16169.329536086674,7.849357557470375
77,joint,0.0005,104396.1237649076,7.851749083471482,10438827.201582406,7.851668962847602
78,joint,0.0005,323.1127606057277,7.8523023862093,31526.045821951837,7.8521868679530105
79,joint,0.0005,10.447206451249693,7.85715556596513,259.0050885284563,7.853681446866362
80,joint,0.0005,9.699668784650184,7.852142703053808,184.75260815963696,7.851432323662423
81,joint,0.0005,585.926765058289,7.856152563859706,57807.0612494429,7.853104811147265
82,joint,0.0005,14.481225230306421,7.8575280071415685,662.3697223164856,7.8522952782995
83,joint,0.0005,380.00666020396994,7.8558265932439815,37215.08336107259,7.85095390852364
