case,source,sample_count,mean,median,p90,maximum,seed_min_mean,seed_max_mean,seed_min_median,seed_max_median,seed_min_p90,seed_max_p90,seed_min_maximum,seed_max_maximum
driven,new_seed_8201,3181469,0.17936978127484382,0.11497046973479236,0.446261220368272,0.9991666047740522,,,,,,,,
driven,new_seed_8202,3181469,0.1801977743375982,0.11565346115545427,0.44905350477913963,0.998890872533595,,,,,,,,
driven,new_seed_8203,3181469,0.17931750215519998,0.11533033584231818,0.446016865951178,0.9987711588326468,,,,,,,,
driven,new_ensemble,3181469,0.17960853416639216,0.11528697549445031,0.44707502882045985,0.9989363227267744,0.17931750215519998,0.1801977743375982,0.11497046973479236,0.11565346115545427,0.446016865951178,0.44905350477913963,0.9987711588326468,0.9991666047740522
driven,legacy_density,3181469,0.13620208831950084,0.0825729447549831,0.3521841626660987,0.774451256111578,,,,,,,,
equilibrium,new_seed_8201,1590471,1.3003548891975543e-16,0.0,4.440892098500626e-16,7.105427357601002e-15,,,,,,,,
equilibrium,new_seed_8202,1590471,1.3003548891975543e-16,0.0,4.440892098500626e-16,7.105427357601002e-15,,,,,,,,
equilibrium,new_seed_8203,1590471,1.3003548891975543e-16,0.0,4.440892098500626e-16,7.105427357601002e-15,,,,,,,,
equilibrium,new_ensemble,1590471,1.3003548891975543e-16,0.0,4.440892098500626e-16,7.105427357601002e-15,1.3003548891975543e-16,1.3003548891975543e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,7.105427357601002e-15,7.105427357601002e-15
equilibrium,legacy_density,1590471,0.0063271333027277,0.00509897884787392,0.013317651399835127,0.04367617899460124,,,,,,,,
