case,source,observable,estimate,ci_low,ci_high,bootstrap_se,seed_min,seed_max
driven,direct_trajectory,J12,0.23057464538463077,0.22607065561244316,0.2350093338084646,0.002314752638595698,,
driven,direct_trajectory,J23,-0.2286482580549086,-0.23296646339190583,-0.22407529561527817,0.00235673337003482,,
driven,direct_trajectory,J12_plus_J23,0.001926387329722244,0.0013208066822562752,0.002551657539972735,0.00031432987009632156,,
driven,new_seed_8201,J12,0.23287591076940456,0.22697305765164263,0.23851189293172798,0.0029586652287761765,,
driven,new_seed_8201,J23,-0.23528503451327032,-0.24262501091449948,-0.22758228813068473,0.0037641229775817356,,
driven,new_seed_8201,J12_plus_J23,-0.002409123743865801,-0.007067170125125501,0.0026253001146196715,0.002480787448250299,,
driven,new_seed_8202,J12,0.231351588036207,0.2261694628943683,0.23692830865277908,0.002861713640294637,,
driven,new_seed_8202,J23,-0.23608687573017928,-0.2433731376542696,-0.22874905825557512,0.0036531463596668665,,
driven,new_seed_8202,J12_plus_J23,-0.0047352876939722914,-0.009318148700294085,0.000351938510861616,0.0024587662781816377,,
driven,new_seed_8203,J12,0.22984506357150278,0.22412632493599036,0.23491518935223843,0.0028338861713651546,,
driven,new_seed_8203,J23,-0.234240448449284,-0.2412524456885385,-0.22743479968630181,0.003647247873466458,,
driven,new_seed_8203,J12_plus_J23,-0.00439538487778112,-0.009242085449133111,0.0004058519685122132,0.0024504283945228147,,
driven,new_ensemble,J12,0.2313575202186371,0.22549084206329517,0.23709190614996575,0.0028760182301154347,0.22984506357150278,0.23287591076940456
driven,new_ensemble,J23,-0.23520411193566243,-0.24241286599520104,-0.2280829728361832,0.003641146542135267,-0.23608687573017928,-0.234240448449284
driven,new_ensemble,J12_plus_J23,-0.0038465917170254446,-0.008807363750147113,0.0005286557672952157,0.0024659550156133675,-0.0047352876939722914,-0.002409123743865801
driven,legacy_density,J12,0.16833525840275593,0.11436334405484995,0.20333932688108458,0.023816125054244738,,
driven,legacy_density,J23,-0.04458613379588066,-0.1957279090977931,0.14779339529235738,0.09142635948388754,,
driven,legacy_density,J12_plus_J23,0.12374912460687529,-0.003190034228382546,0.3003418197247463,0.08123232470906443,,
equilibrium,direct_trajectory,J12,0.000621445474513264,-0.004543816848014731,0.006911296993829279,0.0029597620777589047,,
equilibrium,direct_trajectory,J23,-0.001044757173988251,-0.007472439394107619,0.004083136285806333,0.0030075580291966885,,
equilibrium,direct_trajectory,J12_plus_J23,-0.0004233116994749883,-0.001260041379847401,0.0004234133602253727,0.0004320324892891888,,
equilibrium,new_seed_8201,J12,0.007145222205157176,-0.0008513839540297367,0.01455827722317473,0.003974633148723903,,
equilibrium,new_seed_8201,J23,-0.007233100608627163,-0.014119080785393225,0.00022035451640995386,0.003729452638673313,,
equilibrium,new_seed_8201,J12_plus_J23,-8.787840346998602e-05,-0.0008267972364325489,0.0006885340958959408,0.0003908598800532652,,
equilibrium,new_seed_8202,J12,0.007145222205157176,-0.00017066109633489228,0.014264306762616218,0.0038247022782526402,,
equilibrium,new_seed_8202,J23,-0.007233100608627163,-0.01391381555440597,-0.00012228842272206923,0.003587827490020912,,
equilibrium,new_seed_8202,J12_plus_J23,-8.787840346998602e-05,-0.0007986257377834887,0.0006856722815474512,0.0003870912409790555,,
equilibrium,new_seed_8203,J12,0.007145222205157176,-0.0006175933888512506,0.014031356982252826,0.0038052035466895717,,
equilibrium,new_seed_8203,J23,-0.007233100608627163,-0.013766748816185875,-0.0001873369963468736,0.0035650194750947075,,
equilibrium,new_seed_8203,J12_plus_J23,-8.787840346998602e-05,-0.0007711994338741623,0.0006562109875675576,0.00038040996486940454,,
equilibrium,new_ensemble,J12,0.007145222205157176,-4.856597460461216e-05,0.014610821844406607,0.0037655574970486497,0.007145222205157176,0.007145222205157176
equilibrium,new_ensemble,J23,-0.007233100608627163,-0.01433386871715527,-0.0005114530844584984,0.003522327021787821,-0.007233100608627163,-0.007233100608627163
equilibrium,new_ensemble,J12_plus_J23,-8.787840346998602e-05,-0.0008117602733896178,0.0007143506672285265,0.0003884407878156129,-8.787840346998602e-05,-8.787840346998602e-05
equilibrium,legacy_density,J12,0.0011265724311866241,-0.013222040773330373,0.013482186066433088,0.006795285287187231,,
equilibrium,legacy_density,J23,0.0254671327891951,-0.01156409338400563,0.07903382305847277,0.024059260155854002,,
equilibrium,legacy_density,J12_plus_J23,0.026593705220381715,-0.005801761504972787,0.0780073773619483,0.02244351666705847,,
