case,source,sector,angle,bin,theta,density
driven,direct_trajectory,low,theta1,0,-3.097959422289935,0.24222155851647342
driven,direct_trajectory,low,theta1,1,-3.0106929596902186,0.23581596514175207
driven,direct_trajectory,low,theta1,2,-2.923426497090502,0.23257561472438884
driven,direct_trajectory,low,theta1,3,-2.8361600344907854,0.22506486872387804
driven,direct_trajectory,low,theta1,4,-2.748893571891069,0.22071936568072537
driven,direct_trajectory,low,theta1,5,-2.6616271092913526,0.21376656081168108
driven,direct_trajectory,low,theta1,6,-2.574360646691636,0.20461418032820147
driven,direct_trajectory,low,theta1,7,-2.4870941840919194,0.19409913592748634
driven,direct_trajectory,low,theta1,8,-2.399827721492203,0.18936736594716455
driven,direct_trajectory,low,theta1,9,-2.3125612588924866,0.17909910320075192
driven,direct_trajectory,low,theta1,10,-2.2252947962927703,0.1739488773718302
driven,direct_trajectory,low,theta1,11,-2.138028333693054,0.16747890617424735
driven,direct_trajectory,low,theta1,12,-2.0507618710933375,0.16115914989667468
driven,direct_trajectory,low,theta1,13,-1.9634954084936207,0.15627716499634264
driven,direct_trajectory,low,theta1,14,-1.8762289458939043,0.14900247101299077
driven,direct_trajectory,low,theta1,15,-1.7889624832941877,0.14771491455576033
driven,direct_trajectory,low,theta1,16,-1.7016960206944713,0.1421247736039516
driven,direct_trajectory,low,theta1,17,-1.6144295580947547,0.14006468327238292
driven,direct_trajectory,low,theta1,18,-1.5271630954950384,0.13625566208640957
driven,direct_trajectory,low,theta1,19,-1.439896632895322,0.13339084896907188
driven,direct_trajectory,low,theta1,20,-1.3526301702956054,0.13000028363169844
driven,direct_trajectory,low,theta1,21,-1.2653637076958888,0.12959255742024212
driven,direct_trajectory,low,theta1,22,-1.1780972450961724,0.12318696404552078
driven,direct_trajectory,low,theta1,23,-1.090830782496456,0.12388439045985392
driven,direct_trajectory,low,theta1,24,-1.0035643198967397,0.12202816323401339
driven,direct_trajectory,low,theta1,25,-0.9162978572970231,0.12080498459964449
driven,direct_trajectory,low,theta1,26,-0.8290313946973065,0.11579424405358943
driven,direct_trajectory,low,theta1,27,-0.7417649320975901,0.1151611954621178
driven,direct_trajectory,low,theta1,28,-0.6544984694978737,0.11202814141619043
driven,direct_trajectory,low,theta1,29,-0.5672320068981571,0.11389509827917454
driven,direct_trajectory,low,theta1,30,-0.4799655442984405,0.11614832207932779
driven,direct_trajectory,low,theta1,31,-0.39269908169872414,0.11056891076466262
driven,direct_trajectory,low,theta1,32,-0.30543261909900776,0.10876633172454003
driven,direct_trajectory,low,theta1,33,-0.21816615649929139,0.11096590733897534
driven,direct_trajectory,low,theta1,34,-0.1308996938995748,0.10994659181033459
driven,direct_trajectory,low,theta1,35,-0.04363323129985819,0.10935646176743731
driven,direct_trajectory,low,theta1,36,0.04363323129985819,0.11231784161906729
driven,direct_trajectory,low,theta1,37,0.13089969389957457,0.10924916539600144
driven,direct_trajectory,low,theta1,38,0.21816615649929116,0.11301526803340042
driven,direct_trajectory,low,theta1,39,0.30543261909900776,0.11253243436193902
driven,direct_trajectory,low,theta1,40,0.39269908169872414,0.1137770722705951
