case,source,sector,angle,metric,estimate,ci_low,ci_high,seed_min,seed_max
driven,direct_trajectory,low,theta1,circular_mean,2.99513444142327,2.963326246941314,3.0250584199006285,,
driven,direct_trajectory,low,theta1,circular_resultant,0.19067988241349915,0.18075085204722546,0.20059794107990292,,
driven,direct_trajectory,low,theta1,histogram_mode,3.097959422289935,2.923426497090502,-3.097959422289935,,
driven,direct_trajectory,low,theta1,prob_within_pi_over_6_of_theta0,0.20413467903755744,0.20128898431599598,0.20716714439785786,,
driven,direct_trajectory,low,theta3,circular_mean,-3.0650148616111825,-3.0828462069826927,-3.0443657958085426,,
driven,direct_trajectory,low,theta3,circular_resultant,0.1891066666344145,0.1828019164738405,0.1955931217046825,,
driven,direct_trajectory,low,theta3,histogram_mode,-3.097959422289935,-3.097959422289935,-2.923426497090502,,
driven,direct_trajectory,low,theta3,prob_within_pi_over_6_of_theta0,0.1887431635659851,0.18722542914969814,0.19029086485944754,,
driven,direct_trajectory,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.19329376371149196,0.19102527520690982,0.19554447380107254,,
driven,direct_trajectory,low,joint,prob_both_within_pi_over_6_of_theta0,0.03905931791560041,0.03816251219731825,0.03986004941244941,,
driven,direct_trajectory,middle,theta1,circular_mean,2.919437153657089,2.8997097580272158,2.936049206695512,,
driven,direct_trajectory,middle,theta1,circular_resultant,0.21761867933930176,0.2099765628834222,0.2249128463870066,,
driven,direct_trajectory,middle,theta1,histogram_mode,2.923426497090502,2.7488935718910685,2.923426497090502,,
driven,direct_trajectory,middle,theta1,prob_within_pi_over_6_of_theta0,0.2173881819779605,0.21503689846450513,0.21952949160246807,,
driven,direct_trajectory,middle,theta3,circular_mean,-2.9153803692094375,-2.934695855362407,-2.893408013465168,,
driven,direct_trajectory,middle,theta3,circular_resultant,0.18676960308172127,0.18017909565203696,0.19346359833402277,,
driven,direct_trajectory,middle,theta3,histogram_mode,-3.097959422289935,3.097959422289935,-2.923426497090502,,
driven,direct_trajectory,middle,theta3,prob_within_pi_over_6_of_theta0,0.1781538380129304,0.17582168404128432,0.18025487673560803,,
driven,direct_trajectory,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.2027881037379451,0.2009887824179769,0.20482283814460625,,
driven,direct_trajectory,middle,joint,prob_both_within_pi_over_6_of_theta0,0.039840042635138836,0.03880686216307566,0.04098312681005111,,
driven,direct_trajectory,high,theta1,circular_mean,2.718571076625131,2.6991447498263295,2.737141248835278,,
driven,direct_trajectory,high,theta1,circular_resultant,0.2621158549810939,0.255326343479389,0.2689305002238705,,
driven,direct_trajectory,high,theta1,histogram_mode,2.574360646691636,2.399827721492203,2.7488935718910685,,
driven,direct_trajectory,high,theta1,prob_within_pi_over_6_of_theta0,0.2504700548523687,0.24800242172088663,0.25332205348657383,,
driven,direct_trajectory,high,theta3,circular_mean,-2.64654455385747,-2.6781087798424865,-2.6118320182308845,,
driven,direct_trajectory,high,theta3,circular_resultant,0.18828346537757323,0.18115569791535088,0.19558701238556678,,
driven,direct_trajectory,high,theta3,histogram_mode,-2.923426497090502,-3.097959422289935,-2.6616271092913526,,
driven,direct_trajectory,high,theta3,prob_within_pi_over_6_of_theta0,0.15725040655953965,0.1552797193632552,0.158924579610474,,
driven,direct_trajectory,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.21892994287317238,0.21691320127408287,0.2209141570571183,,
driven,direct_trajectory,high,joint,prob_both_within_pi_over_6_of_theta0,0.04206043237464888,0.041257440959588436,0.04283494177403843,,
driven,new_seed_8201,low,theta1,circular_mean,3.0099240581526243,2.986075230585988,3.0351990629756997,,
driven,new_seed_8201,low,theta1,circular_resultant,0.1922172491104306,0.18569483174317175,0.19876457187868382,,
driven,new_seed_8201,low,theta1,histogram_mode,-3.097959422289935,2.923426497090502,-3.0106929596902186,,
driven,new_seed_8201,low,theta1,prob_within_pi_over_6_of_theta0,0.20409466635140242,0.2017147976931781,0.20655312481620033,,
driven,new_seed_8201,low,theta3,circular_mean,-3.028899197021005,-3.052642686466905,-3.009151040523072,,
driven,new_seed_8201,low,theta3,circular_resultant,0.1855547962181103,0.17848996630557873,0.1922013926431134,,
driven,new_seed_8201,low,theta3,histogram_mode,-3.097959422289935,3.0106929596902186,-3.0106929596902186,,
driven,new_seed_8201,low,theta3,prob_within_pi_over_6_of_theta0,0.1853405777171236,0.18304475999044892,0.1876327812189183,,
driven,new_seed_8201,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.19393816642250827,0.19153868706018598,0.1958154829618105,,
driven,new_seed_8201,low,joint,prob_both_within_pi_over_6_of_theta0,0.03814880608464843,0.03725931803452446,0.03906612623196925,,
driven,new_seed_8201,middle,theta1,circular_mean,2.8912756778067292,2.8719146567995937,2.9103530800628405,,
driven,new_seed_8201,middle,theta1,circular_resultant,0.21259669747919197,0.20752681405601608,0.2174620247306004,,
driven,new_seed_8201,middle,theta1,histogram_mode,2.923426497090502,2.836160034490785,3.0106929596902186,,
driven,new_seed_8201,middle,theta1,prob_within_pi_over_6_of_theta0,0.21833980718091495,0.2162199288371525,0.22042462988630818,,
driven,new_seed_8201,middle,theta3,circular_mean,-2.9065408490756255,-2.9207858276389302,-2.8912530313409635,,
driven,new_seed_8201,middle,theta3,circular_resultant,0.19013117806349003,0.18283826079814847,0.19683435850833775,,
driven,new_seed_8201,middle,theta3,histogram_mode,-2.923426497090502,-3.097959422289935,-2.748893571891069,,
driven,new_seed_8201,middle,theta3,prob_within_pi_over_6_of_theta0,0.1773443478165159,0.17557952585403083,0.17876436887193056,,
driven,new_seed_8201,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20510478474476088,0.2024263971006671,0.2076018750569884,,
driven,new_seed_8201,middle,joint,prob_both_within_pi_over_6_of_theta0,0.03931453706023825,0.03856608527801154,0.04003773988568702,,
driven,new_seed_8201,high,theta1,circular_mean,2.7233094178282378,2.707047397546855,2.7394930948909924,,
driven,new_seed_8201,high,theta1,circular_resultant,0.24987392445704398,0.2432888617980437,0.2562166537548441,,
driven,new_seed_8201,high,theta1,histogram_mode,2.4870941840919194,2.4870941840919194,2.7488935718910685,,
driven,new_seed_8201,high,theta1,prob_within_pi_over_6_of_theta0,0.2454320708767462,0.24336957962336345,0.2477093979170719,,
driven,new_seed_8201,high,theta3,circular_mean,-2.6869183295400862,-2.7105786487387182,-2.662146932060467,,
driven,new_seed_8201,high,theta3,circular_resultant,0.18939732100210982,0.1822648846865171,0.19665538727078252,,
driven,new_seed_8201,high,theta3,histogram_mode,-2.923426497090502,-3.0106929596902186,-2.4870941840919194,,
driven,new_seed_8201,high,theta3,prob_within_pi_over_6_of_theta0,0.15899802451123674,0.15695712482183777,0.1611491375756125,,
driven,new_seed_8201,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.21817413219924972,0.2157902099237538,0.2207257033336535,,
driven,new_seed_8201,high,joint,prob_both_within_pi_over_6_of_theta0,0.04200697240239929,0.041104392069028446,0.04301811783137798,,
driven,new_seed_8202,low,theta1,circular_mean,3.0044799381096867,2.9796250112539058,3.0287551076140717,,
driven,new_seed_8202,low,theta1,circular_resultant,0.1928913737355622,0.18584923963205888,0.19963995354505848,,
driven,new_seed_8202,low,theta1,histogram_mode,-3.097959422289935,2.923426497090502,-3.0106929596902186,,
driven,new_seed_8202,low,theta1,prob_within_pi_over_6_of_theta0,0.20446108428597332,0.2020141899987105,0.20697180715781663,,
driven,new_seed_8202,low,theta3,circular_mean,-3.030537117581308,-3.0543471596890304,-3.00690132428656,,
driven,new_seed_8202,low,theta3,circular_resultant,0.1846773058774924,0.17763889895057128,0.1911154752613774,,
driven,new_seed_8202,low,theta3,histogram_mode,-3.097959422289935,3.0106929596902186,-3.0106929596902186,,
driven,new_seed_8202,low,theta3,prob_within_pi_over_6_of_theta0,0.1852916931882235,0.18271979697361304,0.18781372015917588,,
driven,new_seed_8202,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.19377931266172527,0.19158179701341352,0.19570625942896575,,
driven,new_seed_8202,low,joint,prob_both_within_pi_over_6_of_theta0,0.0382034378902377,0.037297495014961685,0.03911974078554493,,
driven,new_seed_8202,middle,theta1,circular_mean,2.8865063212495286,2.867086395877239,2.9052307998636904,,
driven,new_seed_8202,middle,theta1,circular_resultant,0.21245731399277604,0.20758859689934914,0.21756979847078162,,
driven,new_seed_8202,middle,theta1,histogram_mode,2.923426497090502,2.836160034490785,3.0106929596902186,,
driven,new_seed_8202,middle,theta1,prob_within_pi_over_6_of_theta0,0.21844072572957396,0.21638505187968748,0.22084898668419484,,
driven,new_seed_8202,middle,theta3,circular_mean,-2.9015512420777467,-2.9160413324336028,-2.8859619008946673,,
driven,new_seed_8202,middle,theta3,circular_resultant,0.18825350075938863,0.1805795907943564,0.19473759938008262,,
driven,new_seed_8202,middle,theta3,histogram_mode,-2.923426497090502,-3.097959422289935,-2.748893571891069,,
driven,new_seed_8202,middle,theta3,prob_within_pi_over_6_of_theta0,0.17679506527043345,0.17522677327237812,0.17843155479395087,,
driven,new_seed_8202,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20513681724416769,0.2026343062816286,0.2075977366799256,,
driven,new_seed_8202,middle,joint,prob_both_within_pi_over_6_of_theta0,0.039201510983748786,0.038446306108207824,0.0399602153858812,,
driven,new_seed_8202,high,theta1,circular_mean,2.722296326659177,2.704623205447077,2.739483740686495,,
driven,new_seed_8202,high,theta1,circular_resultant,0.24839890725761413,0.2416300678285875,0.25523111863091735,,
driven,new_seed_8202,high,theta1,histogram_mode,2.4870941840919194,2.4870941840919194,2.7488935718910685,,
