case,scope,source,observable,estimate,ci_low,ci_high,bootstrap_se
driven,section4_1_support_mask,direct_trajectory,J12,0.23057464538463077,0.22607065561244316,0.2350093338084646,0.002314752638595698
driven,section4_1_support_mask,direct_trajectory,J23,-0.2286482580549086,-0.23296646339190583,-0.22407529561527817,0.00235673337003482
driven,section4_1_support_mask,direct_trajectory,J12_plus_J23,0.001926387329722244,0.0013208066822562752,0.002551657539972735,0.00031432987009632156
driven,section4_1_support_mask,new_ensemble,J12,0.2313575202186371,0.22549084206329517,0.23709190614996575,0.0028760182301154347
driven,section4_1_support_mask,new_ensemble,J23,-0.23520411193566243,-0.24241286599520104,-0.2280829728361832,0.003641146542135267
driven,section4_1_support_mask,new_ensemble,J12_plus_J23,-0.0038465917170254446,-0.008807363750147113,0.0005286557672952157,0.0024659550156133675
driven,section4_1_support_mask,legacy_density,J12,0.16833525840275593,0.11436334405484995,0.20333932688108458,0.023816125054244738
driven,section4_1_support_mask,legacy_density,J23,-0.04458613379588066,-0.1957279090977931,0.14779339529235738,0.09142635948388754
driven,section4_1_support_mask,legacy_density,J12_plus_J23,0.12374912460687529,-0.003190034228382546,0.3003418197247463,0.08123232470906443
equilibrium,section4_1_support_mask,direct_trajectory,J12,0.000621445474513264,-0.004543816848014731,0.006911296993829279,0.0029597620777589047
equilibrium,section4_1_support_mask,direct_trajectory,J23,-0.001044757173988251,-0.007472439394107619,0.004083136285806333,0.0030075580291966885
equilibrium,section4_1_support_mask,direct_trajectory,J12_plus_J23,-0.0004233116994749883,-0.001260041379847401,0.0004234133602253727,0.0004320324892891888
equilibrium,section4_1_support_mask,new_ensemble,J12,0.007145222205157176,-4.856597460461216e-05,0.014610821844406607,0.0037655574970486497
equilibrium,section4_1_support_mask,new_ensemble,J23,-0.007233100608627163,-0.01433386871715527,-0.0005114530844584984,0.003522327021787821
equilibrium,section4_1_support_mask,new_ensemble,J12_plus_J23,-8.787840346998602e-05,-0.0008117602733896178,0.0007143506672285265,0.0003884407878156129
equilibrium,section4_1_support_mask,legacy_density,J12,0.0011265724311866241,-0.013222040773330373,0.013482186066433088,0.006795285287187231
equilibrium,section4_1_support_mask,legacy_density,J23,0.0254671327891951,-0.01156409338400563,0.07903382305847277,0.024059260155854002
equilibrium,section4_1_support_mask,legacy_density,J12_plus_J23,0.026593705220381715,-0.005801761504972787,0.0780073773619483,0.02244351666705847
driven,complete_held_out_trajectory,direct_trajectory,J12,0.2327497079544463,0.22843957980740354,0.23763324489766646,0.002328393391293138
driven,complete_held_out_trajectory,direct_trajectory,J23,-0.232732662449285,-0.2376222698702543,-0.22846514131256782,0.0023254075019524664
driven,complete_held_out_trajectory,direct_trajectory,J12_plus_J23,1.7045505161284203e-05,-0.0002701338628903681,0.00031680865270405684,0.00014757498860902226
equilibrium,complete_held_out_trajectory,direct_trajectory,J12,0.0013909780104393438,-0.00396479706676925,0.007659344137103738,0.0030324848253974104
equilibrium,complete_held_out_trajectory,direct_trajectory,J23,-0.0012997642025351027,-0.007678725802949053,0.004097604188097177,0.003088188424829308
equilibrium,complete_held_out_trajectory,direct_trajectory,J12_plus_J23,9.121380790423979e-05,-0.0003173855782489348,0.0005371968835569365,0.00022172645017286684
