case,N_streams,separation,window,constraint,replicates,successful_fits,fit_start,fit_end,extended_supported_end,fraction_select_m_ge_2,median_abs_error_slow,median_abs_error_fast,tolerance,resolution_pass,matched_rate_slow_ci_low,matched_rate_slow_ci_high,matched_rate_fast_ci_low,matched_rate_fast_ci_high,matched_amplitude_slow_ci_low,matched_amplitude_slow_ci_high,matched_amplitude_fast_ci_low,matched_amplitude_fast_ci_high,rates_nonoverlap,amplitudes_nonzero,fraction_numerical_identifiability_pass,scenario_identification_pass,task_seed,input_npz
driven_dt2p5e-4,64,0.2,extended,nonnegative,500,497,0.2,4.73,4.73,0.6116700201207244,0.2720087889094851,0.1247072806999448,0.05,0,-0.9859038254578252,-0.020000000000000004,-9.999999999999998,-0.9629255629223068,0.0019140777905617976,0.9947843668871106,0.005215633112889505,0.99791785537172,0,1,0.5533199195171026,0,210667462,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,64,0.2,extended,signed,500,498,0.2,4.73,4.73,0.8052208835341366,0.18618330758672008,0.2196065493371846,0.05,0,-1.3476421730018993,-0.020000000000000004,-9.999999999999998,-0.7443469086169449,-0.01129265283101862,99.90005917388532,-99.99957183423803,99.89999697427278,0,0,0.3273092369477912,0,210667462,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,64,0.2,fixed,nonnegative,500,495,0.2,4.0,4.73,0.6060606060606061,0.2676447173859433,0.1277846417146768,0.05,0,-0.9864882646489349,-0.020000000000000004,-9.999999999999998,-0.967173035796951,0.0020800798930992854,0.9948004283286032,0.0051995716713969095,0.9977001839205186,0,1,0.5636363636363636,0,210667462,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,64,0.2,fixed,signed,500,500,0.2,4.0,4.73,0.806,0.14403585447009204,0.33175940067068677,0.05,0,-1.3380627188163607,-0.020000000000000004,-9.999999999999998,-0.9485631784782137,-0.002737610198005996,99.900014833779,-99.9290555587273,99.89999688438107,0,0,0.362,0,210667462,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,128,0.2,extended,nonnegative,500,493,0.2,5.3100000000000005,5.3100000000000005,0.7058823529411765,0.13608695267727533,0.12599812864556437,0.05,0,-0.9804767120099365,-0.020000000000000004,-9.999999999999998,-0.9654229567867938,0.001359969301916527,0.9952241698258207,0.0047758301741794105,0.9983359354063503,0,1,0.4543610547667343,0,800104813,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,128,0.2,extended,signed,500,499,0.2,5.3100000000000005,5.3100000000000005,0.8276553106212425,0.14820488519816444,0.17937250714659858,0.05,0,-1.2780675969444713,-0.020000000000000004,-9.999999999999998,-0.7446599642837125,0.001308344149725463,99.90002420553529,-99.92142606647248,99.89996022816906,0,0,0.3046092184368738,0,800104813,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,128,0.2,fixed,nonnegative,500,497,0.2,4.0,5.3100000000000005,0.7142857142857143,0.13541410698641188,0.12767290180273072,0.05,0,-0.9802312628390216,-0.020000000000000004,-9.999999999999998,-0.9681200224926648,0.0015728688172901768,0.9961552755788056,0.0038447244211944017,0.9983076007376681,0,1,0.4708249496981891,0,800104813,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,128,0.2,fixed,signed,500,498,0.2,4.0,5.3100000000000005,0.8534136546184738,0.101272970445491,0.34704587039970014,0.05,0,-1.2994419304623315,-0.020000000000000004,-9.999999999999998,-0.968618013608718,0.0014071703525048804,99.90000065778344,-99.91272909067375,99.8999754353927,0,0,0.3293172690763052,0,800104813,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,256,0.2,extended,nonnegative,500,492,0.2,5.62,5.62,0.8089430894308943,0.19167809612776332,0.125363741424235,0.05,0,-0.9762792137998485,-0.020000000000000004,-8.94358550922402,-0.9689840190306285,0.0010276850236639883,0.9953234376917199,0.004676562308280022,0.9987741131800151,0,1,0.34959349593495936,0,1512816560,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,256,0.2,extended,signed,500,496,0.2,5.62,5.62,0.8568548387096774,0.15886789233987597,0.15892643927656303,0.05,0,-1.2014668289827264,-0.020000000000000007,-8.561866363122958,-0.7750201240531083,0.0007993052955671534,99.9000404671733,-99.90084067073727,99.89999663348269,0,0,0.24193548387096775,0,1512816560,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,256,0.2,fixed,nonnegative,500,495,0.2,4.0,5.62,0.8101010101010101,0.12101951943578704,0.12448473949728223,0.05,0,-0.9766024318203422,-0.020000000000000004,-9.999999999999998,-0.9703743748930586,0.0012291331846254474,0.9961598911272626,0.003840108872737467,0.9987474643041464,0,1,0.3373737373737374,0,1512816560,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,256,0.2,fixed,signed,500,498,0.2,4.0,5.62,0.8614457831325302,0.09617715388599268,0.22082407544118676,0.05,0,-1.3315440997900514,-0.020000000000000004,-9.998897834806238,-0.9639146516894482,0.0009986749113690754,99.89915992715265,-99.92627931734769,99.89996704650466,0,0,0.2469879518072289,0,1512816560,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,512,0.2,extended,nonnegative,500,497,0.2,5.96,5.96,0.9014084507042254,0.07630439781039294,0.12288705810363093,0.05,0,-0.9721249591471618,-0.020000000000000004,-5.535791419003906,-0.9689776411174507,0.0007213939113183899,0.9954955109788824,0.004504489021117619,0.9990304170462652,0,1,0.23541247484909456,0,675071455,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,512,0.2,extended,signed,500,495,0.2,5.96,5.96,0.9353535353535354,0.08754426480929645,0.12608889454252692,0.05,0,-1.1287743552998872,-0.020000000000000004,-6.218207502626226,-0.9584094279411047,0.0006659504621308673,99.90000000727497,-99.00370021159205,99.89308118701086,0,0,0.15353535353535352,0,675071455,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,512,0.2,fixed,nonnegative,500,499,0.2,4.0,5.96,0.8957915831663327,0.14104674842535259,0.12265955724068633,0.05,0,-0.9738770685827535,-0.020000000000000004,-6.148706753452778,-0.9730453808358978,0.0011356710954031962,0.9967277575300683,0.003272242469931801,0.9985767921502268,0,1,0.22244488977955912,0,675071455,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,512,0.2,fixed,signed,500,485,0.2,4.0,5.96,0.9402061855670103,0.07477615685427313,0.15767270862212968,0.05,0,-1.071819143060986,-0.020000000000000004,-5.9311372754339375,-0.9692841823541707,0.0011961314387999974,99.87674072979087,-98.95482795698423,99.89999159909546,0,0,0.15257731958762888,0,675071455,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.2,extended,nonnegative,500,498,0.2,6.3100000000000005,6.3100000000000005,0.9678714859437751,0.07152651721727443,0.12496121649756503,0.05,0,-0.9712490939517325,-0.020000000000000004,-3.7126599499328456,-0.9696302106292296,0.0008439245000391658,0.9945259747108429,0.005474025289157223,0.9974857495450571,0,1,0.13453815261044177,0,1348313516,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.2,extended,signed,500,492,0.2,6.3100000000000005,6.3100000000000005,0.9735772357723578,0.07029214002744089,0.14274861737544742,0.05,0,-1.0854509316584262,-0.020000000000000243,-4.407664607439458,-0.959231611632943,0.0005535872235642161,82.85782120738217,-99.17072800347218,99.89987597428318,0,0,0.08333333333333333,0,1348313516,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.2,fixed,nonnegative,500,499,0.2,4.0,6.3100000000000005,0.9759519038076152,0.17021512297471997,0.12277558598655924,0.05,0,-0.9717476441402668,-0.020000000000000004,-3.8771286281291992,-0.9712425787456175,0.0010307297593194435,0.9944077620067177,0.0055922379932822185,0.998564119063935,0,1,0.0841683366733467,0,1348313516,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.2,fixed,signed,500,493,0.2,4.0,6.3100000000000005,0.9817444219066938,0.07189065990416227,0.1307530273966654,0.05,0,-1.0708886704506062,-0.020000000000000004,-4.795581639831744,-0.9677545459040207,0.0012468031301009924,91.1960862781185,-98.94108819478281,99.8919745565417,0,0,0.058823529411764705,0,1348313516,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.2,extended,nonnegative,500,500,0.2,6.68,6.68,0.994,0.06492087851461759,0.11898307058353341,0.05,0,-0.9677852314333911,-0.0742112356482201,-2.66305313577766,-0.9708327118924321,0.0010653750004940474,0.9911916661726528,0.008808333827347263,0.9938103584696486,1,1,0.054,0,378063469,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.2,extended,signed,500,485,0.2,6.68,6.68,0.9938144329896907,0.06633616715845214,0.13288548994668214,0.05,0,-1.077381315557897,-0.020000000000008428,-3.0525638619083297,-0.9609800057943345,0.0006766813889883098,66.23125875856947,-94.45668851804554,99.87382798615687,0,0,0.024742268041237112,0,378063469,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.2,fixed,nonnegative,500,500,0.2,4.0,6.68,0.994,0.08456216955820672,0.11928818131168928,0.05,0,-0.9670868329014177,-0.020000000000000004,-2.4297343976506616,-0.9716494141060045,0.001119048467946809,0.9891144919561565,0.010885508043843464,0.9972078035599269,1,1,0.028,0,378063469,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.2,fixed,signed,500,485,0.2,4.0,6.68,0.9938144329896907,0.06739788949793224,0.12731343938982825,0.05,0,-1.0059986452866532,-0.020000000000000004,-4.083871326657259,-0.969267472334574,0.0009199844057137271,44.469679721341635,-75.73548052066884,99.89997106124089,0,0,0.018556701030927835,0,378063469,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,64,0.2,extended,nonnegative,500,493,0.2,5.01,5.01,0.6734279918864098,0.17058117617079438,0.1319385431647051,0.05,0,-0.9841692561075096,-0.020000000000000004,-9.999999999999998,-0.9645121883490789,0.002049567475880329,0.9953982636557872,0.004601736344212775,0.9979140416541383,0,1,0.5294117647058824,0,811180640,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,64,0.2,extended,signed,500,498,0.2,5.01,5.01,0.8293172690763052,0.19409202679140602,0.1617620323136053,0.05,0,-1.257592238819003,-0.020000000000000004,-9.999999999999998,-0.9302664471633642,-0.0012576894157316782,99.92836960530889,-99.92984094311191,99.8999681532644,0,0,0.3253012048192771,0,811180640,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,64,0.2,fixed,nonnegative,500,492,0.2,4.0,5.01,0.6646341463414634,0.12297887270000729,0.13320852892191293,0.05,0,-0.9843137539661102,-0.020000000000000004,-9.999999999999998,-0.966837198144607,0.0020504980820128384,0.995567953177076,0.0044320468229240234,0.9978595817574928,0,1,0.540650406504065,0,811180640,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,64,0.2,fixed,signed,500,496,0.2,4.0,5.01,0.8185483870967742,0.11815313737223937,0.23223327973445684,0.05,0,-1.3243221155967833,-0.020000000000000004,-9.999999999999998,-0.9668295765914012,0.001922365851168822,99.9052057770201,-99.92702796434787,99.89999472830986,0,0,0.35685483870967744,0,811180640,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,128,0.2,extended,nonnegative,500,493,0.2,5.3100000000000005,5.3100000000000005,0.7302231237322515,0.08319579763203705,0.13341520140167157,0.05,0,-0.977529922472864,-0.020000000000000004,-9.999999999999998,-0.9655325280425768,0.0012824991071364634,0.9959813581743231,0.00401864182567707,0.9985993860993927,0,1,0.45841784989858014,0,1329933828,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,128,0.2,extended,signed,500,497,0.2,5.3100000000000005,5.3100000000000005,0.8531187122736419,0.08906841601266924,0.24580206438492125,0.05,0,-1.2559890583981461,-0.020000000000000004,-9.999999999999998,-0.8356107078735305,0.0009803829357643487,99.90025102383301,-99.9036103377994,99.90000852118575,0,0,0.289738430583501,0,1329933828,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,128,0.2,fixed,nonnegative,500,492,0.2,4.0,5.3100000000000005,0.6951219512195121,0.07770262271989792,0.13127955243598066,0.05,0,-0.9777018561015878,-0.020000000000000004,-9.999999999999998,-0.9670721204236911,0.0016997595769903198,0.995885705012104,0.004114294987895913,0.9981826516342596,0,1,0.4898373983739837,0,1329933828,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,128,0.2,fixed,signed,500,498,0.2,4.0,5.3100000000000005,0.8373493975903614,0.07698595389664309,0.22341563568081457,0.05,0,-1.2649390028327716,-0.020000000000000004,-9.999999999999998,-0.9724586175097033,0.0018823246345432327,99.89999487799275,-99.90123152166053,99.89999970512918,0,0,0.3353413654618474,0,1329933828,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,256,0.2,extended,nonnegative,500,495,0.2,5.62,5.62,0.8323232323232324,0.16517434149414367,0.12663361941915713,0.05,0,-0.9777219465403879,-0.020000000000000004,-9.999999999999968,-0.9678916108826033,0.0010242492242015539,0.9963425970721682,0.003657402927831733,0.9988322887317385,0,1,0.3393939393939394,0,1376575815,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,256,0.2,extended,signed,500,497,0.2,5.62,5.62,0.8953722334004024,0.1293017582706485,0.1425311402907775,0.05,0,-1.256024386959047,-0.020000000000000004,-8.991114326179193,-0.9579053560797883,0.0007140924643477801,99.90000328039723,-99.92871436637888,99.89999785080879,0,0,0.2052313883299799,0,1376575815,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,256,0.2,fixed,nonnegative,500,497,0.2,4.0,5.62,0.8148893360160966,0.21423801410620147,0.1261723333919642,0.05,0,-0.9777185397389503,-0.020000000000000004,-9.999999999999998,-0.9701778662281749,0.0011277854538673522,0.9964949784296844,0.003505021570315618,0.9988393734309521,0,1,0.35412474849094566,0,1376575815,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,256,0.2,fixed,signed,500,499,0.2,4.0,5.62,0.8997995991983968,0.09054592845344578,0.13021926747902435,0.05,0,-1.159798301466279,-0.020000000000000004,-9.999602145979095,-0.9714474034056991,0.001129622472617747,98.49391343668556,-99.87567165853784,99.8879580015409,0,0,0.22645290581162325,0,1376575815,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.2,extended,nonnegative,500,497,0.2,5.96,5.96,0.9215291750503019,0.1529552717504835,0.12573805676806243,0.05,0,-0.9728087277948351,-0.020000000000000004,-5.483447582387497,-0.9691758494841398,0.0007833942622741231,0.9950491467463328,0.004950853253667108,0.9990806946389609,0,1,0.2112676056338028,0,450808008,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.2,extended,signed,500,499,0.2,5.96,5.96,0.9478957915831663,0.14869391297920886,0.1260905435248969,0.05,0,-1.1695698397451029,-0.020000000000000004,-5.391733323973184,-0.9557092340074993,0.0006977722062552468,99.89853659740321,-99.87916382936338,99.8532441891609,0,0,0.13026052104208416,0,450808008,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.2,fixed,nonnegative,500,498,0.2,4.0,5.96,0.9056224899598394,0.1713599917264792,0.1244077963838135,0.05,0,-0.9726548393676941,-0.020000000000000004,-6.555820429179552,-0.9717363140418149,0.001152184016204282,0.995132336146886,0.004867663853114008,0.9987893515401896,0,1,0.21887550200803213,0,450808008,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.2,fixed,signed,500,493,0.2,4.0,5.96,0.9371196754563894,0.07410379850485632,0.12911368403111007,0.05,0,-1.1080866503461297,-0.020000000000000004,-6.048025150944903,-0.9709173458444023,0.0011603500624710948,99.17364453497055,-98.94703606814629,99.8956899552031,0,0,0.1643002028397566,0,450808008,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,1024,0.2,extended,nonnegative,500,499,0.2,6.3100000000000005,6.3100000000000005,0.9799599198396793,0.07145150663137645,0.12306492755075749,0.05,0,-0.9715178159626373,-0.020000000000000004,-4.110731524435699,-0.9698431095592145,0.0007908674697962943,0.9935565476844306,0.0064434523155694175,0.9984147624961579,0,1,0.1402805611222445,0,8212298,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
