case,N_streams,separation,window,constraint,replicates,successful_fits,fit_start,fit_end,extended_supported_end,fraction_select_m_ge_2,median_abs_error_slow,median_abs_error_fast,tolerance,resolution_pass,matched_rate_slow_ci_low,matched_rate_slow_ci_high,matched_rate_fast_ci_low,matched_rate_fast_ci_high,matched_amplitude_slow_ci_low,matched_amplitude_slow_ci_high,matched_amplitude_fast_ci_low,matched_amplitude_fast_ci_high,rates_nonoverlap,amplitudes_nonzero,fraction_numerical_identifiability_pass,scenario_identification_pass,task_seed,input_npz
driven_dt2p5e-4,512,0.6,extended,nonnegative,500,500,0.2,5.62,5.62,1.0,0.04833024095351407,0.13894194528732084,0.15,1,-1.0416213918401809,-0.5868437532945224,-2.074629342775768,-1.1327614208343162,0.09432389518448141,0.8642324590640239,0.12583746868992227,0.8606578017119388,1,1,0.022,0,403384088,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,512,0.6,fixed,nonnegative,500,500,0.2,4.0,5.62,1.0,0.04795183637732048,0.13188231051021926,0.15,1,-1.0265054063273957,-0.5400505089940835,-2.067333945633953,-1.121848770284277,0.06167589080568809,0.8701008189479787,0.127593654364967,0.8746000475318961,1,1,0.0,0,403384088,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.6,extended,nonnegative,500,500,0.2,6.3100000000000005,6.3100000000000005,1.0,0.036584295177247095,0.10156061000094474,0.15,1,-1.0057548038046482,-0.6568132177984874,-1.882329933922431,-1.1712330725677258,0.15024604025812477,0.8215090650425239,0.16828583990768411,0.8169240123251492,1,1,0.008,0,864703681,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.6,extended,signed,500,492,0.2,6.3100000000000005,6.3100000000000005,1.0,0.047975804477798145,0.13168630755490074,0.15,1,-1.151857288734192,-0.45399382474079325,-2.4386116333522927,-1.0291352852574922,0.019911431826326483,99.89999226750872,0.09769245885556867,99.90000200242189,0,1,0.0,0,864703681,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.6,fixed,nonnegative,500,500,0.2,4.0,6.3100000000000005,1.0,0.034014318455814485,0.08943832033928145,0.15,1,-1.0069382516393113,-0.6188255674858256,-1.8739453716067846,-1.150990455553785,0.11067610931007843,0.8333873589584648,0.16193883629685765,0.842597932421707,1,1,0.0,0,864703681,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,1024,0.6,fixed,signed,500,487,0.2,4.0,6.3100000000000005,1.0,0.04411252971740742,0.12632004235248284,0.15,1,-1.0328327286607766,-0.44434749928874256,-2.527791580135858,-1.1013195701911087,0.08398213997062899,78.34539540403274,0.13907515867860393,99.8999872271564,1,1,0.0,0,864703681,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.4,fixed,nonnegative,500,500,0.2,4.0,6.68,1.0,0.039058245508573786,0.0903238764089136,0.1,1,-1.0027248632095636,-0.5403377096788377,-1.8441983017694763,-1.0615809441830333,0.05443480744166345,0.9159911419191195,0.08099460691530774,0.9322634479920332,1,1,0.0,0,1391058311,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.6,extended,nonnegative,500,500,0.2,6.68,6.68,1.0,0.02665243199613726,0.06831405986139061,0.15,1,-0.965750531889469,-0.7521412501449314,-1.7180707316387394,-1.2157658008074266,0.24718031402474008,0.7465082638298544,0.2389380085518525,0.6889165749623355,1,1,0.002,0,1163083064,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.6,extended,signed,500,481,0.2,6.68,6.68,1.0,0.03836285855846866,0.11332334652889675,0.15,1,-1.1437281001063806,-0.5719973544235261,-2.485757750928155,-1.0930986768482431,0.07472033137524974,98.8752010782773,0.14925494828590657,99.90000550091727,0,1,0.0,0,1163083064,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.6,fixed,nonnegative,500,499,0.2,4.0,6.68,1.0,0.026712082377183255,0.06691521369597608,0.15,1,-0.9922985298978291,-0.7314105130756461,-1.7502769616927885,-1.2014790776297202,0.2336354447084902,0.7878967893766307,0.1987520302582394,0.7483527346486945,1,1,0.0,0,1163083064,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
driven_dt2p5e-4,2048,0.6,fixed,signed,500,483,0.2,4.0,6.68,1.0,0.03830399939851492,0.10916870422021652,0.15,1,-1.0400329122461172,-0.49268092084334497,-2.4427122140596578,-1.108520498865866,0.08703868650529561,63.353720129866275,0.19683009189868547,99.90000089992537,1,1,0.0,0,1163083064,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/driven_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.6,extended,nonnegative,500,500,0.2,5.96,5.96,1.0,0.04701088934348058,0.1299650037738923,0.15,1,-1.027745384699296,-0.6361245553302884,-1.987249606500607,-1.1722549995913127,0.13276290104016045,0.8431967570025617,0.13906025206025924,0.8334479841969729,1,1,0.008,0,271964507,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.6,fixed,nonnegative,500,500,0.2,4.0,5.96,1.0,0.043596881130028575,0.11542207333741672,0.15,1,-1.0188338809033952,-0.5897415650483158,-2.0401801893212648,-1.1311005179952083,0.08097493390261074,0.8625680937909531,0.13129096281720504,0.84809056654085,1,1,0.0,0,271964507,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,512,0.6,fixed,signed,500,488,0.2,4.0,5.96,1.0,0.05114348896766241,0.14752120073259234,0.15,1,-1.0240547740340442,-0.38460202660679643,-2.435203782632616,-1.083941238939435,0.027548888309066537,7.0137667040859,0.13116619054316533,99.90000382490682,1,1,0.0,0,271964507,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,1024,0.6,extended,nonnegative,500,500,0.2,6.3100000000000005,6.3100000000000005,1.0,0.03393536974492767,0.09067963836760606,0.15,1,-1.045438107217161,-0.7484087053611415,-1.8424303056507165,-1.2137595404169492,0.24622465554522213,0.7998418249183584,0.16309972704111952,0.7295239386810521,1,1,0.002,0,816821723,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,1024,0.6,extended,signed,500,494,0.2,6.3100000000000005,6.3100000000000005,1.0,0.044236441058856324,0.11633174626368092,0.15,1,-1.1290229266364578,-0.4698094751820115,-2.2366290928412305,-1.0812723578436836,0.07206775955190305,91.67147615124517,0.11641640744162154,99.89999822170508,0,1,0.0,0,816821723,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,1024,0.6,fixed,nonnegative,500,500,0.2,4.0,6.3100000000000005,1.0,0.031402224345911056,0.08093638547384696,0.15,1,-1.014597641878836,-0.7198712011061454,-1.8411858863694253,-1.1915386880664052,0.19795195418621844,0.8062241382312557,0.16988024117731723,0.7602466281395083,1,1,0.0,0,816821723,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,1024,0.6,fixed,signed,500,484,0.2,4.0,6.3100000000000005,1.0,0.03405595870618683,0.09909358164372617,0.15,1,-1.0061330751180577,-0.3954734388111351,-2.22464600124663,-1.087903650570609,0.04192078208898968,0.8654332755715667,0.1881581182423897,99.89905417499024,1,1,0.0,0,816821723,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
equilibrium_dt2p5e-4,2048,0.6,extended,nonnegative,500,500,0.2,6.68,6.68,1.0,0.02564966460391499,0.06545426886361949,0.15,1,-1.0071016078443826,-0.7515947930407132,-1.7869764170117763,-1.2068770117734806,0.2428660378121137,0.7653336373522989,0.18196175826556882,0.6879094504873713,1,1,0.0,0,710976077,/Users/jayleenjiang/Documents/NLS/experiments/spectral_gap_controlled_2026-09-07/analysis/equilibrium_dt2p5e-4_trajectory_correlations.npz
