case,N_streams,window,constraint,smallest_resolved_separation,number_resolved
driven_dt2p5e-4,64,fixed,signed,>0.60,0
driven_dt2p5e-4,64,fixed,nonnegative,>0.60,0
driven_dt2p5e-4,64,extended,signed,>0.60,0
driven_dt2p5e-4,64,extended,nonnegative,>0.60,0
driven_dt2p5e-4,128,fixed,signed,>0.60,0
driven_dt2p5e-4,128,fixed,nonnegative,>0.60,0
driven_dt2p5e-4,128,extended,signed,>0.60,0
driven_dt2p5e-4,128,extended,nonnegative,>0.60,0
driven_dt2p5e-4,256,fixed,signed,>0.60,0
driven_dt2p5e-4,256,fixed,nonnegative,>0.60,0
driven_dt2p5e-4,256,extended,signed,>0.60,0
driven_dt2p5e-4,256,extended,nonnegative,>0.60,0
driven_dt2p5e-4,512,fixed,signed,>0.60,0
driven_dt2p5e-4,512,fixed,nonnegative,0.6,1
driven_dt2p5e-4,512,extended,signed,>0.60,0
driven_dt2p5e-4,512,extended,nonnegative,0.6,1
driven_dt2p5e-4,1024,fixed,signed,0.6,1
driven_dt2p5e-4,1024,fixed,nonnegative,0.6,1
driven_dt2p5e-4,1024,extended,signed,0.6,1
driven_dt2p5e-4,1024,extended,nonnegative,0.6,1
driven_dt2p5e-4,2048,fixed,signed,0.6,1
driven_dt2p5e-4,2048,fixed,nonnegative,0.4,2
driven_dt2p5e-4,2048,extended,signed,0.6,1
driven_dt2p5e-4,2048,extended,nonnegative,0.6,1
equilibrium_dt2p5e-4,64,fixed,signed,>0.60,0
equilibrium_dt2p5e-4,64,fixed,nonnegative,>0.60,0
equilibrium_dt2p5e-4,64,extended,signed,>0.60,0
equilibrium_dt2p5e-4,64,extended,nonnegative,>0.60,0
equilibrium_dt2p5e-4,128,fixed,signed,>0.60,0
equilibrium_dt2p5e-4,128,fixed,nonnegative,>0.60,0
equilibrium_dt2p5e-4,128,extended,signed,>0.60,0
equilibrium_dt2p5e-4,128,extended,nonnegative,>0.60,0
equilibrium_dt2p5e-4,256,fixed,signed,>0.60,0
equilibrium_dt2p5e-4,256,fixed,nonnegative,>0.60,0
equilibrium_dt2p5e-4,256,extended,signed,>0.60,0
equilibrium_dt2p5e-4,256,extended,nonnegative,>0.60,0
equilibrium_dt2p5e-4,512,fixed,signed,0.6,1
equilibrium_dt2p5e-4,512,fixed,nonnegative,0.6,1
equilibrium_dt2p5e-4,512,extended,signed,>0.60,0
equilibrium_dt2p5e-4,512,extended,nonnegative,0.6,1
equilibrium_dt2p5e-4,1024,fixed,signed,0.6,1
equilibrium_dt2p5e-4,1024,fixed,nonnegative,0.6,1
equilibrium_dt2p5e-4,1024,extended,signed,0.6,1
equilibrium_dt2p5e-4,1024,extended,nonnegative,0.6,1
equilibrium_dt2p5e-4,2048,fixed,signed,0.6,1
equilibrium_dt2p5e-4,2048,fixed,nonnegative,0.6,1
equilibrium_dt2p5e-4,2048,extended,signed,0.6,1
equilibrium_dt2p5e-4,2048,extended,nonnegative,0.6,1
