observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,0,0.0,0.4793644978262561,0.0007462986021617915,642.3226526723867,0.4797917148002575,nan,nan,nan
cos_theta1,1,0.01,0.4597877294119863,0.0007669867134542628,599.4728739709838,0.4602894599705078,nan,nan,nan
cos_theta1,2,0.02,0.4423902051857557,0.0007904806064280536,559.6471331343413,0.4429543778344061,-4.155967219451936,-4.203482133051389,-4.110381023363087
cos_theta1,3,0.03,0.4244448075701922,0.0008166119248498227,519.7631759397206,0.42505194126017537,-4.30145320329679,-4.347557216491299,-4.25726241216801
cos_theta1,4,0.04,0.4059469861329451,0.0008476987394703251,478.88119591471434,0.40656202869792807,-4.579448965323441,-4.626933029855043,-4.533993249486059
cos_theta1,5,0.05,0.38710918965529084,0.0008767475805963548,441.5286659724605,0.38772301309357793,-4.826184244389075,-4.875280709119496,-4.780004790689475
cos_theta1,6,0.06,0.36834291966070554,0.0009019412708996487,408.38902880372564,0.3689349584001059,-5.026420609447962,-5.075579023968502,-4.9805539212962255
cos_theta1,7,0.07,0.34993051633593447,0.0009239726640207559,378.72388433352364,0.35051412058607834,-5.167354456174268,-5.215787011309322,-5.121064241888628
cos_theta1,8,0.08,0.33201021969971867,0.0009440861100559561,351.67366214088287,0.3325909105609752,-5.259264120529648,-5.308150096941795,-5.21421892685443
cos_theta1,9,0.09,0.314823643078192,0.0009594289225134524,328.1364942109902,0.3154140415332478,-5.308067479327439,-5.3564120933609765,-5.26383684656523
cos_theta1,10,0.1,0.2984623476504418,0.0009707091656688044,307.46835221732516,0.29904828050796384,-5.309876455828345,-5.359087463812858,-5.263379822743149
cos_theta1,11,0.11,0.28299009890993776,0.0009743529661820054,290.4389977061724,0.28358370516083875,-5.278553531834195,-5.329617222645637,-5.229296753184218
cos_theta1,12,0.12,0.2684784613881684,0.000982611795909918,273.2294304889267,0.2690853702657938,-5.21787895357677,-5.268699950553248,-5.167245777637127
cos_theta1,13,0.13,0.25489978745029984,0.0009851396739241848,258.74481984360386,0.25554151579101864,-5.132761849507079,-5.183895575787563,-5.0817815208156905
cos_theta1,14,0.14,0.242239917144217,0.0009762696405376062,248.12808581328187,0.24291855245763067,-5.0297956436070095,-5.079945776868677,-4.980149140235319
cos_theta1,15,0.15,0.23046555997934773,0.0009663261816900924,238.49665293789965,0.23115820331357834,-4.908809962158433,-4.960137820975736,-4.858528107769918
cos_theta1,16,0.16,0.21954975183962538,0.0009552031684713491,229.84613021225618,0.22021335804506226,-4.7755066168730895,-4.827924381794024,-4.720893134816613
cos_theta1,17,0.17,0.20945691859275134,0.0009396047351790325,222.92024587641245,0.210113033793691,-4.637356751239623,-4.694046203088241,-4.580187433399424
cos_theta1,18,0.18,0.20011823433182746,0.0009267590180903234,215.9334092525913,0.2007493308487426,-4.496884703325293,-4.557977338533417,-4.434262722357897
cos_theta1,19,0.19,0.19144626463521033,0.0009165460720775725,208.87795002083337,0.19203598227857396,-4.360471705054433,-4.426357498481815,-4.2930387438300786
cos_theta1,20,0.2,0.18340622080205007,0.0009109823115847815,201.32797143227648,0.18399442878128439,-4.239603623054438,-4.308203127761178,-4.170834564183285
cos_theta1,21,0.21,0.17593229100827845,0.0009063783042745316,194.10470239476362,0.17651728504516595,-4.068416091113983,-4.139792553576372,-3.9964818055002262
cos_theta1,22,0.22,0.16890293800695452,0.0009019217648463953,187.27005444393515,0.16946802583843432,-3.9645101694851457,-4.037078519927892,-3.891925236733786
cos_theta1,24,0.24,0.15620767349099907,0.0009001669941488025,173.53188297990081,0.15670888731313548,-3.831746689488819,-3.9070279152382708,-3.7558552660684237
cos_theta1,25,0.25,0.1504270080336732,0.0008975866182624004,167.59051992650964,0.15091979591779267,-3.7436119484914454,-3.8202399660430464,-3.6668312195702106
cos_theta1,27,0.27,0.139797424861434,0.0008973382838872527,155.79121873172977,0.14023019009122245,-3.592972043883299,-3.6712541689853806,-3.517138056773469
cos_theta1,28,0.28,0.13492343935822224,0.0008983604047510837,150.1885419756524,0.13530709251052228,-3.5081835773333916,-3.5880609697959707,-3.4335762994254617
cos_theta1,30,0.3,0.12591512131902366,0.0008934496277649617,140.9314161717329,0.12625246263601175,-3.4290056500942043,-3.5095695923280408,-3.3540100501832026
cos_theta1,32,0.32,0.11767247382558717,0.0008916136731095097,131.97697318301937,0.117941473480832,-3.368493800486741,-3.4523346843258493,-3.2926377898969466
cos_theta1,33,0.33,0.11380131425770121,0.0008904733357062883,127.79867705689188,0.11402775953554838,-3.2823084343724878,-3.366985308532418,-3.2000163285424423
cos_theta1,35,0.35000000000000003,0.10658181814237688,0.0009001035556954319,118.41061783166755,0.106705957861775,-3.219775282775122,-3.3083733915701954,-3.1328547954241057
cos_theta1,38,0.38,0.09683643953068005,0.0009044480632245049,107.0668880482118,0.09682134938960592,-3.184498764636868,-3.280719687169208,-3.0951176935432767
cos_theta1,40,0.4,0.0909511998281933,0.0009102626449119186,99.91753516040876,0.090850065767969,-3.1253255409361334,-3.2260978708511843,-3.0250181001289542
cos_theta1,42,0.42,0.08544297391345797,0.0009139751608368871,93.48500656759815,0.08529969405035262,-3.0764493827151473,-3.1957347185679774,-2.959270486463245
cos_theta1,45,0.45,0.0779743854877492,0.0009223013033564878,84.54328884062147,0.07774597584498427,-3.0397566990312894,-3.168768403275114,-2.91187714199681
cos_theta1,47,0.47000000000000003,0.0734160752454039,0.0009342531327119365,78.5826374831549,0.07311091661544426,-2.975752839266738,-3.1089655299177097,-2.844572069936271
