observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,0,0.0,0.48788465809322723,0.0006380755850667124,764.6189095955108,0.48796040907973354,nan,nan,nan
cos_theta1,1,0.01,0.45656483328107383,0.0006360396548139003,717.8244781210391,0.45662419561617185,nan,nan,nan
cos_theta1,2,0.02,0.43211015046626255,0.0006368001825811086,678.5647402216708,0.4321980107440487,-5.801249146793818,-5.83567299506548,-5.769051133447057
cos_theta1,3,0.03,0.4090347235317797,0.0006413758734343211,637.7457283223894,0.40914128953096957,-5.570536158103629,-5.600689807129394,-5.541674918098778
cos_theta1,4,0.04,0.3868469186294004,0.0006385458091580882,605.8248493392376,0.38701108599082096,-5.649117525622428,-5.6797342146516145,-5.620011806305088
cos_theta1,5,0.05,0.36536953502350117,0.0006366884607705133,573.8592067167906,0.3655354400812225,-5.750423577081339,-5.783392273341071,-5.719659146048888
cos_theta1,6,0.06,0.3447142567856263,0.000641311981818813,537.5141375153925,0.34489839741523953,-5.846261610029924,-5.881052340609134,-5.812508854171079
cos_theta1,7,0.07,0.3249863261196336,0.0006471758969863632,502.16073811302874,0.3251965853667818,-5.904151580641716,-5.9430087953223705,-5.866917758985554
cos_theta1,8,0.08,0.30618166163521116,0.0006574727758428533,465.69481335968436,0.3064289361155188,-5.927900206055324,-5.967821263653404,-5.888461876983012
cos_theta1,9,0.09,0.28851388208107387,0.0006641638321966224,434.40167635575307,0.28879874565346897,-5.913187863541892,-5.955788194712822,-5.869924665939243
cos_theta1,10,0.1,0.27194499576840986,0.0006687903825000677,406.6221687456493,0.27225013395545705,-5.865708243987273,-5.912844171011729,-5.818591440316735
cos_theta1,11,0.11,0.25653255930712326,0.0006768494466763992,379.00977915665067,0.2568963029881992,-5.793541184002836,-5.8456425636914835,-5.7418981963089015
cos_theta1,12,0.12,0.24214827896580846,0.0006910255342488928,350.418713874315,0.24252549132035317,-5.700712170780574,-5.755862502850157,-5.646177962226537
cos_theta1,13,0.13,0.22883507682628057,0.0007060455462729002,324.1080947741457,0.2292330572824144,-5.591275457958662,-5.652736204177404,-5.531159238417503
cos_theta1,14,0.14,0.21649584110375095,0.0007195892863725991,300.8602896175565,0.21689639328442917,-5.463126827145874,-5.530816936428246,-5.399263976589746
cos_theta1,15,0.15,0.20512192841895022,0.0007330324569747012,279.82652946297776,0.20550930156367636,-5.3277813824248,-5.397630892475902,-5.259927242965325
cos_theta1,16,0.16,0.1946153776426924,0.0007547655842768552,257.8487701306021,0.19499126095439004,-5.187676630643581,-5.260851234623396,-5.116223045194074
cos_theta1,17,0.17,0.18491389795247998,0.0007695702632656631,240.28202073167412,0.18529231861487633,-5.046760198804495,-5.121905682546351,-4.974283443038968
cos_theta1,18,0.18,0.17592614430739795,0.0007781000780960544,226.0970654801558,0.17629155443534114,-4.917126421528705,-4.99312356305793,-4.843750717113137
cos_theta1,19,0.19,0.1676258088851943,0.0007891160458984965,212.42225368048835,0.16796044653829612,-4.789022989527655,-4.868567382451618,-4.715323999199743
cos_theta1,20,0.2,0.15986666620074616,0.0008001230363866346,199.8026040128853,0.16016644478479664,-4.669946224727083,-4.749860726452349,-4.596938700051514
cos_theta1,21,0.21,0.15267773314743843,0.0008099459459492851,188.5036080629983,0.15294929277473124,-4.511078491696799,-4.595588649649074,-4.433528016105554
cos_theta1,22,0.22,0.14595033948894556,0.0008151429365412743,179.04876917442988,0.14617382571713333,-4.41255899009685,-4.500912919505388,-4.330988945431199
cos_theta1,24,0.24,0.13377780373561693,0.0008274185633363048,161.6809311072259,0.13388135248275113,-4.301494819554658,-4.390434315783777,-4.2197384913674885
cos_theta1,25,0.25,0.12821546667059186,0.0008348280086659847,153.5830917741656,0.1282423981488705,-4.226754246927824,-4.318276198799765,-4.143228910582149
cos_theta1,27,0.27,0.11794750958957155,0.0008594989088610113,137.22822492686228,0.11791074317066114,-4.104781836413555,-4.196522141899716,-4.016919543422936
cos_theta1,28,0.28,0.11325718075124859,0.0008640372009430791,131.07905611891556,0.11319055335874537,-4.03923188490362,-4.135026783447314,-3.9482467894261206
cos_theta1,30,0.3,0.10457383034107019,0.0008688840568333787,120.3541824926404,0.10444992396046904,-3.964642998361671,-4.068121078311282,-3.867271301712391
cos_theta1,32,0.32,0.0966374116227398,0.0008755324807687624,110.37558713742658,0.09648325530600117,-3.907801496564492,-4.023176205701103,-3.8025863796823174
cos_theta1,33,0.33,0.09297783315859949,0.0008790382284952797,105.77222940321619,0.09279604563614863,-3.79944510252525,-3.926073165963322,-3.6865475677216075
