stream_id,seed,projection_count,min_proposed_action,nonfinite
0,2026090701,1412,-0.023887638002634048,0
1,2026090702,1515,-0.026401184499263763,0
2,2026090703,1424,-0.021796243265271187,0
3,2026090704,1460,-0.023415686562657356,0
4,2026090705,1387,-0.021998297423124313,0
5,2026090706,1384,-0.017937013879418373,0
6,2026090707,1507,-0.022375922650098801,0
7,2026090708,1339,-0.024558322504162788,0
8,2026090709,1426,-0.023014139384031296,0
9,2026090710,1367,-0.023053072392940521,0
10,2026090711,1277,-0.019709466025233269,0
11,2026090712,1439,-0.020168012008070946,0
12,2026090713,1356,-0.021165275946259499,0
13,2026090714,1511,-0.027743760496377945,0
14,2026090715,1348,-0.029002007097005844,0
15,2026090716,1485,-0.021805489435791969,0
16,2026090717,1464,-0.019756549969315529,0
17,2026090718,1480,-0.028850294649600983,0
18,2026090719,1471,-0.031279880553483963,0
19,2026090720,1422,-0.01972302608191967,0
20,2026090721,1328,-0.031364396214485168,0
21,2026090722,1360,-0.026833841577172279,0
22,2026090723,1503,-0.022972332313656807,0
23,2026090724,1390,-0.019524145871400833,0
24,2026090725,1460,-0.018953381106257439,0
25,2026090726,1422,-0.022307682782411575,0
26,2026090727,1398,-0.028010400012135506,0
27,2026090728,1469,-0.02262282557785511,0
28,2026090729,1539,-0.025332700461149216,0
29,2026090730,1580,-0.018291277810931206,0
30,2026090731,1347,-0.02214093878865242,0
31,2026090732,1346,-0.026807954534888268,0
32,2026090733,1489,-0.021295582875609398,0
33,2026090734,1332,-0.019337985664606094,0
34,2026090735,1391,-0.023376837372779846,0
35,2026090736,1362,-0.020791912451386452,0
36,2026090737,1471,-0.029255278408527374,0
37,2026090738,1556,-0.019595269113779068,0
38,2026090739,1418,-0.022081173956394196,0
39,2026090740,1554,-0.021734846755862236,0
40,2026090741,1583,-0.019383501261472702,0
41,2026090742,1517,-0.023896178230643272,0
42,2026090743,1472,-0.019921358674764633,0
43,2026090744,1460,-0.022020859643816948,0
44,2026090745,1683,-0.027153154835104942,0
45,2026090746,1399,-0.026832187548279762,0
46,2026090747,1471,-0.027704043313860893,0
47,2026090748,1411,-0.025018870830535889,0
48,2026090749,1367,-0.019057853147387505,0
49,2026090750,1403,-0.030583659186959267,0
50,2026090751,1548,-0.021369671449065208,0
51,2026090752,1431,-0.019662406295537949,0
52,2026090753,1502,-0.023426532745361328,0
53,2026090754,1317,-0.03082609735429287,0
54,2026090755,1448,-0.024872265756130219,0
55,2026090756,1411,-0.017492109909653664,0
56,2026090757,1339,-0.025875626131892204,0
57,2026090758,1388,-0.039797414094209671,0
58,2026090759,1347,-0.025929661467671394,0
59,2026090760,1399,-0.024919489398598671,0
60,2026090761,1375,-0.026481486856937408,0
61,2026090762,1408,-0.025030985474586487,0
62,2026090763,1360,-0.024615926668047905,0
63,2026090764,1446,-0.028546769171953201,0
