stream_id,seed,projection_count,min_proposed_action,nonfinite
0,2026090702,1546,-0.016366828233003616,0
1,2026090703,1526,-0.013037788681685925,0
2,2026090704,1437,-0.014675484038889408,0
3,2026090705,1474,-0.019129961729049683,0
4,2026090706,1509,-0.014048761688172817,0
5,2026090707,1543,-0.01311555877327919,0
6,2026090708,1386,-0.02249683253467083,0
7,2026090709,1500,-0.017183400690555573,0
8,2026090710,1505,-0.018683258444070816,0
9,2026090711,1417,-0.013964734971523285,0
10,2026090712,1486,-0.013436617329716682,0
11,2026090713,1510,-0.01506193820387125,0
12,2026090714,1633,-0.016611829400062561,0
13,2026090715,1360,-0.015592514537274837,0
14,2026090716,1665,-0.01507243886590004,0
15,2026090717,1495,-0.015343332663178444,0
16,2026090718,1523,-0.012572002597153187,0
17,2026090719,1649,-0.017346605658531189,0
18,2026090720,1443,-0.01794918067753315,0
19,2026090721,1417,-0.014828727580606937,0
20,2026090722,1444,-0.015628170222043991,0
21,2026090723,1653,-0.015121586620807648,0
22,2026090724,1491,-0.01447787694633007,0
23,2026090725,1551,-0.011327431537210941,0
24,2026090726,1557,-0.014451652765274048,0
25,2026090727,1471,-0.017953367903828621,0
26,2026090728,1507,-0.014801127836108208,0
27,2026090729,1606,-0.014891558326780796,0
28,2026090730,1624,-0.013258459977805614,0
29,2026090731,1451,-0.016221936792135239,0
30,2026090732,1468,-0.016842097043991089,0
31,2026090733,1675,-0.017044642940163612,0
32,2026090734,1413,-0.011966814287006855,0
33,2026090735,1467,-0.013824373483657837,0
34,2026090736,1473,-0.012770446017384529,0
35,2026090737,1587,-0.020330369472503662,0
36,2026090738,1572,-0.013317573815584183,0
37,2026090739,1415,-0.013383317738771439,0
38,2026090740,1540,-0.013869327493011951,0
39,2026090741,1636,-0.01184182520955801,0
40,2026090742,1608,-0.0145526472479105,0
41,2026090743,1549,-0.011963696219027042,0
42,2026090744,1556,-0.011498200707137585,0
43,2026090745,1622,-0.020353222265839577,0
44,2026090746,1581,-0.018290167674422264,0
45,2026090747,1525,-0.014074880629777908,0
46,2026090748,1512,-0.01641540415585041,0
47,2026090749,1513,-0.014007396064698696,0
48,2026090750,1493,-0.018818829208612442,0
49,2026090751,1539,-0.014547784812748432,0
50,2026090752,1523,-0.013658258132636547,0
51,2026090753,1563,-0.011684412136673927,0
52,2026090754,1540,-0.015586776658892632,0
53,2026090755,1545,-0.015627752989530563,0
54,2026090756,1394,-0.017706044018268585,0
55,2026090757,1436,-0.016392013058066368,0
56,2026090758,1427,-0.020465366542339325,0
57,2026090759,1456,-0.018993915989995003,0
58,2026090760,1412,-0.015397652052342892,0
59,2026090761,1446,-0.017381023615598679,0
60,2026090762,1584,-0.017251050099730492,0
61,2026090763,1477,-0.015966357663273811,0
62,2026090764,1543,-0.018801344558596611,0
63,2026090765,1578,-0.016598062589764595,0
