case,observable,time,C,SE_C,damped_fit,real_exponential_fit
driven_T2_T8,sin_theta1,0.05,0.3638804816171199,0.0008751928488675482,0.37201299642866764,0.4143370495205591
driven_T2_T8,sin_theta1,0.06,0.34054624185036053,0.0009330709203952558,0.3436479529761471,0.3626015246366996
driven_T2_T8,sin_theta1,0.07,0.3169833434216043,0.000987325139925645,0.31663181761385906,0.31732587230854215
driven_T2_T8,sin_theta1,0.08,0.2935101294810078,0.0010344250932455257,0.29092985058384746,0.2777034910078412
driven_T2_T8,sin_theta1,0.09,0.2704044187987796,0.0010717899100446964,0.26650650304973406,0.24302849420030143
driven_T2_T8,sin_theta1,0.1,0.24783986514902065,0.001101401921172683,0.24332558052099204,0.21268313473091432
driven_T2_T8,sin_theta1,0.11,0.22603919042502824,0.0011233840366852651,0.22135039482945074,0.18612679944305954
driven_T2_T8,sin_theta1,0.12,0.20507821448747482,0.0011352485130832503,0.20054390516583057,0.1628863779666747
driven_T2_T8,sin_theta1,0.13,0.18500523381484557,0.0011473753315920411,0.18086884867315378,0.1425478340920977
driven_T2_T8,sin_theta1,0.14,0.165897458439008,0.001154791891276068,0.1622878610824337,0.12474882957066866
driven_T2_T8,sin_theta1,0.15,0.14777236901337085,0.0011464170237623869,0.14476358786419743,0.10917226893252706
driven_T2_T8,sin_theta1,0.16,0.13066108400933246,0.0011341734332160954,0.12825878635719792,0.09554065032028437
driven_T2_T8,sin_theta1,0.17,0.11453863608834775,0.0011157410147180058,0.11273641932319221,0.08361112169670439
driven_T2_T8,sin_theta1,0.18,0.09939410968276312,0.0011000481705257523,0.09815974036395507,0.07317115435100695
driven_T2_T8,sin_theta1,0.19,0.08520209924635035,0.0010778960064681063,0.0844923716238162,0.06403475662580327
driven_T2_T8,sin_theta1,0.2,0.07194775511051069,0.0010496619351257393,0.07169837418800738,0.05603916041088704
driven_T2_T8,sin_theta1,0.21,0.05956859402812191,0.0010231022110884806,0.05974231157402011,0.049041921372614206
driven_T2_T8,sin_theta1,0.22,0.047972482414034213,0.0009985812634638585,0.04858930670006027,0.04291838125844619
driven_T2_T8,sin_theta1,0.23,0.03724619228819709,0.0009766161276497601,0.03820509270157057,0.03755944706672809
driven_T2_T8,sin_theta1,0.24,0.027286188904367778,0.0009529678311845425,0.02855605795371578,0.03286964751683703
driven_T2_T8,sin_theta1,0.25,0.018100490655425426,0.000929552109434721,0.01960928564472512,0.02876543219503864
driven_T2_T8,sin_theta1,0.26,0.009629437502332208,0.0009134625939332358,0.011332588232084438,0.0251736830747429
driven_T2_T8,sin_theta1,0.27,0.0018546049631075704,0.000897742735217601,0.0036945371007992274,0.02203041189337313
driven_T2_T8,sin_theta1,0.28,-0.005299513499747384,0.0008855730624909179,-0.003335512269666417,0.019279620179163345
driven_T2_T8,sin_theta1,0.29,-0.011839655625791748,0.0008747633783427578,-0.009787399335611038,0.016872301618864115
driven_T2_T8,sin_theta1,0.3,-0.017770847091853323,0.0008608081857798928,-0.01569014143455796,0.014765568993189485
driven_T2_T8,sin_theta1,0.31,-0.02313373577697747,0.000850671325077338,-0.021071920376067237,0.012921890126055987
driven_T2_T8,sin_theta1,0.32,-0.027993172296566216,0.0008430750346692878,-0.025960072419809327,0.011308419235782876
driven_T2_T8,sin_theta1,0.33,-0.032331476260198465,0.0008348417348103155,-0.03038108139436492,0.009896411776042231
driven_T2_T8,sin_theta1,0.34,-0.0361852225176273,0.0008273856862547848,-0.03436057472151802,0.00866071234174641
driven_T2_T8,sin_theta1,0.35000000000000003,-0.03957081806614239,0.0008174879000591018,-0.03792332212184086,0.007579306516737902
driven_T2_T8,sin_theta1,0.36,-0.04250812075902435,0.0008086212967659829,-0.041093236788129074,0.006632928679291736
driven_T2_T8,sin_theta1,0.37,-0.04507266003355258,0.0008002116902482662,-0.043893378823719804,0.0058047187783489135
driven_T2_T8,sin_theta1,0.38,-0.0472864027336951,0.0007883364105663103,-0.04634596075291284,0.005079921965829799
driven_T2_T8,sin_theta1,0.39,-0.04913568286669444,0.0007757355247970551,-0.04847235492060894,0.004445625733872361
driven_T2_T8,sin_theta1,0.4,-0.05066946749148662,0.0007684715043618765,-0.05029310260787516,0.0038905298740036487
driven_T2_T8,sin_theta1,0.41000000000000003,-0.05196450131157211,0.0007613424526785366,-0.05182792469944543,0.0034047451599868352
driven_T2_T8,sin_theta1,0.42,-0.05300156274770626,0.0007550126112413991,-0.053095733748161025,0.002979617167808674
driven_T2_T8,sin_theta1,0.43,-0.05380833762007099,0.0007503177513731052,-0.05411464729005111,0.002607572094098964
driven_T2_T8,sin_theta1,0.44,-0.05438930827797585,0.0007501200796220678,-0.0549020022721488,0.002281981826183468
driven_T2_T8,sin_theta1,0.45,-0.05479388454248094,0.0007504996457670481,-0.0554743704632336,0.0019970458599462217
driven_T2_T8,sin_theta1,0.46,-0.05503980145286634,0.0007497364563290094,-0.05584757472548879,0.0017476879618267824
driven_T2_T8,sin_theta1,0.47000000000000003,-0.05510043289097223,0.0007496624286600724,-0.0560367060325657,0.0015294657339498979
driven_T2_T8,sin_theta1,0.48,-0.0550535791320498,0.0007469108113113732,-0.05605614112675748,0.001338491471258846
driven_T2_T8,sin_theta1,0.49,-0.054883647766564736,0.0007432635420296287,-0.0559195607149088,0.001171362900694678
driven_T2_T8,sin_theta1,0.5,-0.054598220675318734,0.0007356687350848079,-0.05563996810932639,0.0010251025685157362
driven_T2_T8,sin_theta1,0.51,-0.05419630854724384,0.0007327713732259033,-0.05522970822631704,0.0008971047959213674
driven_T2_T8,sin_theta1,0.52,-0.05368675214392006,0.0007278447184111468,-0.05470048686106432,0.0007850892579758118
driven_T2_T8,sin_theta1,0.53,-0.053061617948033594,0.0007206868652667847,-0.05406339016337414,0.0006870603588246078
driven_T2_T8,sin_theta1,0.54,-0.0523319052883198,0.0007132551965952229,-0.053328904244373566,0.0006012716794588243
driven_T2_T8,sin_theta1,0.55,-0.0515281189171445,0.0007044763794292211,-0.052506934849544724,0.0005261948646516594
driven_T2_T8,sin_theta1,0.56,-0.05064509216950169,0.0006929924502508139,-0.0516068270385234,0.00046049239477732515
driven_T2_T8,sin_theta1,0.5700000000000001,-0.049698617882353316,0.0006862114374168218,-0.050637384816894136,0.0004029937574326863
driven_T2_T8,sin_theta1,0.58,-0.04870539434808191,0.0006744659574476566,-0.04960689066977856,0.00035267459435078536
driven_T2_T8,sin_theta1,0.59,-0.04764605590792281,0.0006649967794429879,-0.048523124951347224,0.0003086384521012502
driven_T2_T8,sin_theta1,0.6,-0.04652711558957877,0.0006560286511340691,-0.04739338508849549,0.0002701008114599493
driven_T2_T8,sin_theta1,0.61,-0.04540152199977036,0.0006500946470124166,-0.04622450456081453,0.0002363751109255504
driven_T2_T8,sin_theta1,0.62,-0.04425584725946975,0.0006458909060494015,-0.045022871622670615,0.00020686051538705224
driven_T2_T8,sin_theta1,0.63,-0.04310955720437325,0.0006465973828588481,-0.043794447736683235,0.00018103121203684875
driven_T2_T8,sin_theta1,0.64,-0.0419474266142486,0.0006520146428994328,-0.04254478569117243,0.00015842704283227225
driven_T2_T8,sin_theta1,0.65,-0.04079673847619798,0.0006627171766717502,-0.04127904737723762,0.000138645306619666
driven_T2_T8,sin_theta1,0.66,-0.03963464910792919,0.000676593828077826,-0.04000202120403662,0.00012133358487295765
driven_T2_T8,sin_theta1,0.67,-0.038468165104398204,0.000689325464678101,-0.0387181391335656,0.00010618346323477341
driven_T2_T8,sin_theta1,0.68,-0.037272820564884325,0.0007008375696205187,-0.03743149331880197,9.292503700715603e-05
driven_T2_T8,sin_theta1,0.6900000000000001,-0.03610376608676594,0.0007146326379534691,-0.03614585233147163,8.132210270528693e-05
driven_T2_T8,sin_theta1,0.7000000000000001,-0.03492592797617464,0.000728503197034645,-0.03486467696794407,7.116795001007068e-05
driven_T2_T8,sin_theta1,0.71,-0.03374065116243587,0.0007420365381310067,-0.03359113562385197,6.228167915174492e-05
driven_T2_T8,sin_theta1,0.72,-0.032553643150476756,0.0007561379712209186,-0.03232811922998087,5.450497811742479e-05
driven_T2_T8,sin_theta1,0.73,-0.03136139205005181,0.0007683062844446024,-0.03107825574378699,4.7699302267410515e-05
driven_T2_T8,sin_theta1,0.74,-0.03019961165508282,0.0007824772104022957,-0.0298439241925818,4.1743406114136565e-05
driven_T2_T8,sin_theta1,0.75,-0.029042591228606633,0.0007933060517780818,-0.02862726826597806,3.653118329154826e-05
driven_T2_T8,sin_theta1,0.76,-0.02790058169138542,0.0008082383342475932,-0.027430209456628413,3.1969776233203737e-05
driven_T2_T8,sin_theta1,0.77,-0.02678809165303727,0.0008212694374816502,-0.02625445974961067,2.797792188236013e-05
driven_T2_T8,sin_theta1,0.78,-0.02569777181380776,0.000837113393299198,-0.02510153386202859,2.4484503962291428e-05
driven_T2_T8,sin_theta1,0.79,-0.024603498292122022,0.0008517406639215612,-0.023972761035509545,2.1427286015028803e-05
driven_T2_T8,sin_theta1,0.8,-0.023549487126892393,0.0008667459628882079,-0.02286929638529492,1.875180263716812e-05
driven_T2_T8,sin_theta1,0.81,-0.022521135850898717,0.0008777528372370854,-0.021792131810541945,1.641038915972265e-05
driven_T2_T8,sin_theta1,0.8200000000000001,-0.021541193853898518,0.0008874509643549019,-0.02074210647129044,1.4361332485430405e-05
driven_T2_T8,sin_theta1,0.8300000000000001,-0.02060867776453242,0.0008986069286955938,-0.019719916838300783,1.2568127955386332e-05
driven_T2_T8,sin_theta1,0.84,-0.01970084772112227,0.0009067431237057224,-0.018726126322643775,1.0998829005819055e-05
driven_T2_T8,sin_theta1,0.85,-0.01881265989233006,0.0009110894113858761,-0.017761174492523915,9.625478028921609e-06
driven_T2_T8,sin_theta1,0.86,-0.0179522178977536,0.0009114491232361734,-0.016825385885349663,8.423608298322956e-06
driven_T2_T8,sin_theta1,0.87,-0.017114485586866606,0.0009062986474321416,-0.015918978423530326,7.37180808582916e-06
driven_T2_T8,sin_theta1,0.88,-0.01630000207451599,0.0009004221684534181,-0.015042071442885297,6.4513392040220405e-06
driven_T2_T8,sin_theta1,0.89,-0.015508896769017283,0.0008957707658895154,-0.014194693342898978,5.645803178918539e-06
driven_T2_T8,sin_theta1,0.9,-0.014716950561425234,0.0008941344428521374,-0.01337678886834973,4.940849105440689e-06
driven_T2_T8,sin_theta1,0.91,-0.013916215371280162,0.00089277050400511,-0.01258822603208526,4.323917981039183e-06
driven_T2_T8,sin_theta1,0.92,-0.01314363165890722,0.0008894549863286324,-0.011828802688914977,3.784018962685232e-06
driven_T2_T8,sin_theta1,0.93,-0.01237017867165266,0.0008839644134196209,-0.011098252770743819,3.31153356117087e-06
driven_T2_T8,sin_theta1,0.9400000000000001,-0.011615389689782925,0.0008738347155643044,-0.010396252193186158,2.8980442843708913e-06
driven_T2_T8,sin_theta1,0.9500000000000001,-0.01089007150910591,0.0008624422216555714,-0.009722424443974755,2.5361846766865514e-06
driven_T2_T8,sin_theta1,0.96,-0.010202694717695974,0.0008531680122542919,-0.009076345863521601,2.2195080830712663e-06
driven_T2_T8,sin_theta1,0.97,-0.00950542494344026,0.0008437840072551304,-0.008457550627997485,1.9423727996238126e-06
driven_T2_T8,sin_theta1,0.98,-0.008865130571165282,0.0008341159577141525,-0.007865535445277658,1.6998415646667924e-06
driven_T2_T8,sin_theta1,0.99,-0.008222773396170294,0.0008247455728820971,-0.007299763974054555,1.4875935997087982e-06
driven_T2_T8,sin_theta1,1.0,-0.007635675172599915,0.0008154923810133481,-0.0067596709763476474,1.301847633269498e-06
driven_T2_T8,I1_minus_I3,0.05,4.6783054203339205,0.031004542462104205,4.616227152352126,5.925255452098987
driven_T2_T8,I1_minus_I3,0.06,4.5361931964080355,0.030066601061234332,4.489549772716522,5.47712525226656
driven_T2_T8,I1_minus_I3,0.07,4.3851357069029175,0.029053482317451907,4.352154427331257,5.06288737617027
driven_T2_T8,I1_minus_I3,0.08,4.226868075199523,0.027992191510317975,4.205734409981333,4.679978529462482
driven_T2_T8,I1_minus_I3,0.09,4.062744495288639,0.026913192211355994,4.051869977922793,4.326029281101122
driven_T2_T8,I1_minus_I3,0.1,3.8942607810466563,0.025814651113120205,3.8920309823878463,3.9988494013654674
driven_T2_T8,I1_minus_I3,0.11,3.7227858753405543,0.02470216172716991,3.727579808007575,3.696414308765556
driven_T2_T8,I1_minus_I3,0.12,3.5494306047718407,0.023600522051860192,3.5597745774779814,3.416852541978986
driven_T2_T8,I1_minus_I3,0.13,3.3752826642036693,0.02253953521036258,3.389772580547433,3.1584341792917603
driven_T2_T8,I1_minus_I3,0.14,3.20125390051854,0.0215080669742772,3.2186338891040274,2.9195601338829342
driven_T2_T8,I1_minus_I3,0.15,3.0283541307486948,0.020525611065630594,3.0473251227814036,2.698752258712545
driven_T2_T8,I1_minus_I3,0.16,2.857191463446315,0.019582517528971752,2.876723332073421,2.4946441997820816
driven_T2_T8,I1_minus_I3,0.17,2.688441334227808,0.018683227653806093,2.7076199684453788,2.305972941167716
driven_T2_T8,I1_minus_I3,0.18,2.5226019133695603,0.017821332427562106,2.5407249133464416,2.131570989507119
driven_T2_T8,I1_minus_I3,0.19,2.3601273203687114,0.017012855890417934,2.3766705403600876,1.970359149577678
driven_T2_T8,I1_minus_I3,0.2,2.201589829302977,0.01626818404558582,2.216015786972881,1.8213398462615469
driven_T2_T8,I1_minus_I3,0.21,2.0471780510131823,0.015597171925687804,2.059250214593694,1.6835909515740086
driven_T2_T8,I1_minus_I3,0.22,1.8972520249116596,0.01499775868095697,1.9067980375134828,1.556260078556937
driven_T2_T8,I1_minus_I3,0.23,1.752155510685612,0.014461853782724658,1.7590221034582085,1.4385593067281215
driven_T2_T8,I1_minus_I3,0.24,1.6120701827748425,0.013998238838575447,1.6162278102536438,1.329760306447635
driven_T2_T8,I1_minus_I3,0.25,1.477118196048015,0.013626130147169726,1.4786669448901457,1.2291898320309564
driven_T2_T8,I1_minus_I3,0.26,1.347459690802427,0.01333676254220917,1.3465414329483103,1.1362255557203227
driven_T2_T8,I1_minus_I3,0.27,1.2231999746023756,0.013115884641606216,1.220006987923197,1.0502922167350328
driven_T2_T8,I1_minus_I3,0.28,1.1042898598434312,0.01295945754099396,1.0991766514667483,0.9708580615711093
driven_T2_T8,I1_minus_I3,0.29,0.9910239415013933,0.012870599080211135,0.9841242169564344,0.897431553522978
driven_T2_T8,I1_minus_I3,0.3,0.8833362491998809,0.012838089845287606,0.8748875300948672,0.8295583310657566
driven_T2_T8,I1_minus_I3,0.31,0.7811536158256549,0.012858624059873761,0.7714716614521662,0.7668183962767068
driven_T2_T8,I1_minus_I3,0.32,0.684561605750187,0.012916346939826922,0.6738519469825651,0.7088235158978479
driven_T2_T8,I1_minus_I3,0.33,0.5934862180789597,0.01299759412005426,0.5819768935816699,0.6552148189575832
driven_T2_T8,I1_minus_I3,0.34,0.5078430000251576,0.01311562360319422,0.49577094770361685,0.6056605760854694
driven_T2_T8,I1_minus_I3,0.35000000000000003,0.42755112672631024,0.01324802873978916,0.4151371259310462,0.5598541467785849
driven_T2_T8,I1_minus_I3,0.36,0.3524865558732533,0.01340209196350401,0.3399595071883222,0.5175120819172253
driven_T2_T8,I1_minus_I3,0.37,0.28251051151234535,0.01355933189746501,0.27010558701286663,0.47837236978834036
driven_T2_T8,I1_minus_I3,0.38,0.2175591777720437,0.013726210465814492,0.20542849495409862,0.44219281476314376
driven_T2_T8,I1_minus_I3,0.39,0.15742456035272062,0.013891654842830708,0.14576907675743556,0.408749538596194
driven_T2_T8,I1_minus_I3,0.4,0.10203296821727133,0.014043922220567199,0.09095784351548124,0.3778355950720145
driven_T2_T8,I1_minus_I3,0.41000000000000003,0.05117722734095029,0.01420214690800527,0.040816790433127394,0.3492596894267237
driven_T2_T8,I1_minus_I3,0.42,0.00475575405340147,0.014340969608362451,-0.004838911738878252,0.322844994620483
driven_T2_T8,I1_minus_I3,0.43,-0.0375162349394345,0.01446773171905611,-0.04619934919300345,0.2984280571358847
driven_T2_T8,I1_minus_I3,0.44,-0.07581821155753994,0.014572365486028154,-0.08345841776370001,0.2758577855313866
driven_T2_T8,I1_minus_I3,0.45,-0.11027978705531871,0.014654223290371466,-0.11681249186599789,0.25499451549098373
driven_T2_T8,I1_minus_I3,0.46,-0.1411379292136409,0.014721996896567465,-0.14645920549108932,0.2357091455846672
driven_T2_T8,I1_minus_I3,0.47000000000000003,-0.1685661271429139,0.01477562378439989,-0.17259634090407872,0.2178823383917774
driven_T2_T8,I1_minus_I3,0.48,-0.19277369326073432,0.014796122450448108,-0.19542082055503832,0.2014037820438186
driven_T2_T8,I1_minus_I3,0.49,-0.21387089584242963,0.014804782176874172,-0.21512779761561232,0.18617150761718096
driven_T2_T8,I1_minus_I3,0.5,-0.23207409472804494,0.014802653728498134,-0.2319098404867811,0.17209125815181192
driven_T2_T8,I1_minus_I3,0.51,-0.24751280741793477,0.014772982790899895,-0.2459562065864502,0.1590759053913388
driven_T2_T8,I1_minus_I3,0.52,-0.26038776926931917,0.01472717152278825,-0.25745220071556973,0.14704491063544314
driven_T2_T8,I1_minus_I3,0.53,-0.27079791038779455,0.014675753886934992,-0.26657861331613236,0.13592382636825603
