observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,0,0.0,0.4830086523161786,0.0005603610837055101,861.9596655823749,0.4834058592716817,nan,nan,nan
cos_theta1,1,0.01,0.4639030120158943,0.0005701028099943118,813.7181643088601,0.4642511513420225,nan,nan,nan
cos_theta1,2,0.02,0.4466045399907146,0.0005894672650936604,757.6409521566114,0.4469420711655449,-4.0696898832792625,-4.105227311485347,-4.0350518170360665
cos_theta1,3,0.03,0.4288261900344853,0.000607649738248737,705.712786564138,0.4291803249978802,-4.227679322821901,-4.265407394215732,-4.190196223749755
cos_theta1,4,0.04,0.4104470665509179,0.0006225416581414335,659.3085959520954,0.41080852541116875,-4.501646698789317,-4.543425047570827,-4.46149954434059
cos_theta1,5,0.05,0.3917282390488044,0.0006432738020200544,608.9603491058882,0.3920916093879393,-4.752719848675682,-4.79727669691294,-4.710422357138347
cos_theta1,6,0.06,0.3730108982623074,0.0006602375244607195,564.9647050385115,0.37334134493488635,-4.952989569654664,-4.998395069451327,-4.909309824161691
cos_theta1,7,0.07,0.3545831561235246,0.000683393787213808,518.8562769485479,0.35485812826099944,-5.0998414833927175,-5.145095176894214,-5.056770602659206
cos_theta1,8,0.08,0.3366781363902806,0.0007075206130769225,475.8562933256569,0.33688025489682216,-5.197532817254926,-5.243581124525633,-5.153860726405464
cos_theta1,9,0.09,0.3194416641416922,0.0007250601112302946,440.5726631405195,0.3195520630797578,-5.25014372004023,-5.297247765366455,-5.20585121758228
cos_theta1,10,0.1,0.3029919763265238,0.0007425153439213946,408.06156910691345,0.30305191768846,-5.26001709415211,-5.3068371741576525,-5.215954974793505
cos_theta1,11,0.11,0.28741786792706525,0.0007556796365141097,380.343539827143,0.2874250675470881,-5.231934865774922,-5.278510504453164,-5.185173925065142
cos_theta1,12,0.12,0.27279666622363186,0.0007686153167929191,354.9196330901755,0.2727781610229691,-5.176489559882318,-5.223851835949871,-5.12790651316756
cos_theta1,13,0.13,0.2591215554519776,0.0007775617796849906,333.2488327254899,0.2590805135534967,-5.090416647297175,-5.137221502517352,-5.0426534006561194
cos_theta1,14,0.14,0.24632375354553812,0.0007864057550884459,313.2273027653955,0.24623188538194243,-4.986130022973172,-5.034488908377022,-4.937510174839089
cos_theta1,15,0.15,0.2344683185804075,0.0007883680943950844,297.4097001735151,0.2343293529146416,-4.872888678185893,-4.920895039619246,-4.824852600369033
cos_theta1,16,0.16,0.22347096707556885,0.0007872445847092776,283.8647244021306,0.22330587362039653,-4.739288869578725,-4.786898182358832,-4.692046069022057
cos_theta1,17,0.17,0.2132322037870093,0.0007863175588737941,271.17822994110907,0.21304388354601744,-4.611832306088003,-4.658719902581289,-4.564475482250513
cos_theta1,18,0.18,0.2037869707531345,0.0007815342803564076,260.752440264297,0.20359183765034475,-4.476650273057874,-4.525392926515164,-4.428419918413684
cos_theta1,19,0.19,0.1949702893237669,0.0007769829192273324,250.93252953057748,0.19475743214411192,-4.340415375128883,-4.391820207023977,-4.2904559794626875
cos_theta1,20,0.2,0.18683306048613613,0.0007679368454756596,243.2922206908979,0.18660696774023544,-4.2194591240299495,-4.275824800341289,-4.165085058681173
cos_theta1,21,0.21,0.17924706678732358,0.0007619162251448097,235.2582355799759,0.17900900606713452,-4.050631958498215,-4.111747997721758,-3.9915329117316505
