observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,0,0.0,0.48380652260090123,0.000598526719918524,808.3290294320705,0.48410506578604723,nan,nan,nan
cos_theta1,1,0.01,0.4648796089346411,0.0006258699196592498,742.7735290229978,0.4651997235355647,nan,nan,nan
cos_theta1,2,0.02,0.44782169091016194,0.0006513957931452319,687.4801704626881,0.4481454682807864,-4.026803428843809,-4.066683021717652,-3.985888067189593
cos_theta1,3,0.03,0.4301331085612142,0.0006780571207942903,634.361170128775,0.43045607630297195,-4.187670434589094,-4.2281319314480195,-4.149317900611788
cos_theta1,4,0.04,0.41183094725614544,0.0007051071396093761,584.0686104586838,0.41217827941623103,-4.468667888204809,-4.512262404155888,-4.428437248954873
cos_theta1,5,0.05,0.39318162261223294,0.0007313786713050667,537.5896755515752,0.3935318700824741,-4.719615699486748,-4.76576832460653,-4.677377899972029
cos_theta1,6,0.06,0.3745212060414755,0.0007651339224811987,489.48451380506975,0.37490687213742313,-4.920671735338569,-4.96799350907848,-4.877767851720736
cos_theta1,7,0.07,0.3561350766215788,0.0007936953735927695,448.7049924576039,0.3565698802766154,-5.063971061289943,-5.110988910464131,-5.0196897033535075
cos_theta1,8,0.08,0.3382502727940259,0.000818365990815657,413.32396090518785,0.3386846343616972,-5.157589510177495,-5.205400040507503,-5.112062695283751
cos_theta1,9,0.09,0.32108722227818426,0.0008384823144985055,382.9385745246468,0.3215528786119819,-5.204291100592557,-5.25257012644491,-5.157871688095628
cos_theta1,10,0.1,0.30470522866615973,0.0008588660100268712,354.77621085112736,0.30522290771399996,-5.20759509037247,-5.257356843169982,-5.160215524301069
cos_theta1,11,0.11,0.2892057705493705,0.0008732643358293862,331.1778102957751,0.28976916564663924,-5.175216564358125,-5.227253845845344,-5.124923347484696
cos_theta1,12,0.12,0.274645800670255,0.0008896408741180258,308.7153576914213,0.2752623866468219,-5.1050743664809595,-5.159894816967017,-5.053246832199521
cos_theta1,13,0.13,0.26104795971494277,0.0009037425895049259,288.85211646155346,0.26169645841204436,-5.011213444426389,-5.0659127813570874,-4.95735105249066
cos_theta1,14,0.14,0.24842521913932594,0.0009161554278993673,271.1605602871717,0.24910523416159785,-4.899203775820892,-4.955463137879211,-4.842938284047802
cos_theta1,15,0.15,0.23667547661274824,0.0009232957384783157,256.3376681482504,0.23736846781701,-4.775499782351282,-4.832762042367053,-4.715838905034054
cos_theta1,16,0.16,0.22576939876159982,0.0009237224313653834,244.4125974378287,0.2265038617818884,-4.648552203518244,-4.708281929639403,-4.587216645468412
cos_theta1,17,0.17,0.21565591530698353,0.0009276877083950027,232.46606951394338,0.21641442208010242,-4.514308266486566,-4.5753074073367825,-4.449938559028971
cos_theta1,18,0.18,0.20627284507706745,0.0009342546683308605,220.78866937383845,0.20706866466901175,-4.375407383587592,-4.439939466212638,-4.308766765217474
cos_theta1,19,0.19,0.1975748648682694,0.0009400583794216797,210.17297350172728,0.1983893588684125,-4.2428370428253395,-4.308678692365281,-4.176697567126674
cos_theta1,20,0.2,0.18952061853652505,0.0009484588319074966,199.81955163554113,0.1903364370797771,-4.108860130285018,-4.17571772925615,-4.0425128731947595
cos_theta1,21,0.21,0.1819934452161017,0.0009504773227379844,191.47584151912625,0.18279716988486902,-3.9262390798935707,-3.9920440391398935,-3.859155746915921
cos_theta1,22,0.22,0.17501039600108217,0.000955233368856863,183.21218846292902,0.17581113280825916,-3.818954804974225,-3.886585870185406,-3.7500704136614122
cos_theta1,24,0.24,0.16235829996556891,0.000963233036973666,168.55557661900218,0.16315554499615575,-3.6741706809784263,-3.742456780021923,-3.6027315637991357
cos_theta1,25,0.25,0.15657734157871392,0.0009678400528543248,161.78018373691057,0.1573911487254646,-3.5930955399428464,-3.6625933144194356,-3.5236832583874143
cos_theta1,27,0.27,0.14598741659279496,0.0009766348475885869,149.48004052205704,0.14682654753417812,-3.462278370331266,-3.532489849742097,-3.395017294631026
cos_theta1,28,0.28,0.14107048308044867,0.000980687946503982,143.84849287007717,0.14190446918259153,-3.3876142868630845,-3.4580337217762533,-3.3194740432757857
cos_theta1,30,0.3,0.1319032789694229,0.0009825673281388901,134.24350188731066,0.13275921943219954,-3.3260553478032584,-3.397263674386331,-3.2557478201859342
cos_theta1,32,0.32,0.12352172891414631,0.0009930580085634687,124.38520997663525,0.12440102374795521,-3.272000012492599,-3.348037511187705,-3.197536811584618
cos_theta1,33,0.33,0.11957659273033466,0.0009985847168049336,119.74606732709799,0.12045104991743229,-3.2036276021407066,-3.2900218642893475,-3.124881300513241
cos_theta1,35,0.35000000000000003,0.1121928925256573,0.0010123381330797827,110.82551260253213,0.11300395403674833,-3.155733202563071,-3.2489767157647713,-3.0697744526448694
cos_theta1,38,0.38,0.102082234673761,0.0010227649468510579,99.81006387445827,0.10279657018314159,-3.115999475749087,-3.213701254933299,-3.02365861494226
cos_theta1,40,0.4,0.09596258990323453,0.0010328879714075626,92.9070650057644,0.09663938240327007,-3.0507846667493475,-3.1584829118832003,-2.94606215010021
cos_theta1,42,0.42,0.09033429307374609,0.001034928408770877,87.28554778105934,0.09100411210497587,-2.975091063422618,-3.097185811500909,-2.8577304059112163
cos_theta1,45,0.45,0.08269351458156242,0.001053575714252504,78.48844033030147,0.08329661597157376,-2.900183993292789,-3.0241384133684543,-2.7764757107013196
cos_theta1,47,0.47000000000000003,0.0781023788216278,0.001062605341618673,73.50083399981219,0.07863521945459512,-2.836474147697831,-2.9602872592628127,-2.7135093914367876
cos_theta1,50,0.5,0.07180398871768694,0.0010787671678816793,66.56115504394225,0.07226214259751103,-2.7465407650610483,-2.879323531652938,-2.6199097812191394
cos_theta1,53,0.53,0.0661222300925139,0.0010828328245273814,61.06411681911651,0.06654907390643298,-2.636862215950085,-2.78392656239176,-2.5012632873864895
cos_theta1,56,0.56,0.06113115840834943,0.0010821021469902801,56.49296471537131,0.06154441981408867,-2.5016590339140916,-2.659208223369001,-2.356429977368562
cos_theta1,60,0.6,0.05543595702410726,0.0010924125406006552,50.74635722657138,0.05585918327044179,-2.317170962381075,-2.4882770508233896,-2.1559977486225557
cos_theta1,63,0.63,0.051869157892725073,0.0011036444280422989,46.9980698264687,0.05229185001143593,-2.1123030804116887,-2.2850277730892006,-1.9474231832758218
cos_theta1,67,0.67,0.047803605504042494,0.0011061432427415525,43.2164693114811,0.048181549526840686,-1.8733771147099174,-2.042377827357027,-1.7122110750914654
cos_theta1,71,0.71,0.04453058389817485,0.0010899831529136126,40.85437814258048,0.044856360054035975,-1.7104566044086191,-1.8730722406252915,-1.554824898823651
cos_theta1,75,0.75,0.04185544348342148,0.0010643458066632188,39.32504193786467,0.04217256064341337,-1.5846220022133213,-1.732248968955677,-1.4366909592668846
cos_theta1,79,0.79,0.039450680489814705,0.0010293126070269347,38.327210043374485,0.03981857921154434,-1.5228010088959214,-1.6721569146985906,-1.363927928672057
cos_theta1,84,0.84,0.03651471482478102,0.0009871075604240222,36.99162714253323,0.03702125083080351,-1.500292750991804,-1.6589629813213669,-1.3243931370135995
cos_theta1,89,0.89,0.03385450406770277,0.0009695922531321665,34.91622788686618,0.03442408082183362,-1.5136480395842067,-1.6961533094861936,-1.3316091133426446
cos_theta1,94,0.9400000000000001,0.0314741393954531,0.0009599402598669024,32.78760221997258,0.03205513010128256,-1.539309766887053,-1.7578504138059072,-1.333749845286255
cos_theta1,100,1.0,0.028708269244625217,0.0009408336582759396,30.513650305870854,0.02924414502741097,-1.5643540382532866,-1.7930744578666047,-1.3463984556434663
cos_theta1,106,1.06,0.026025248852635467,0.0009358553465815436,27.809050776596504,0.026483825098997448,-1.5730132822549627,-1.7915239182840452,-1.3571856333017338
cos_theta1,112,1.12,0.023624176634330158,0.0009388140422821053,25.163850954874516,0.023971711474748254,-1.5766374297636745,-1.7950109972221238,-1.3564845268561319
cos_theta1,119,1.19,0.021240567543344784,0.0009182795434273805,23.130829490186212,0.02157660946996773,-1.5240081631092899,-1.7809284457043428,-1.274953059692365
cos_theta1,126,1.26,0.019053665095210535,0.0008581842469299167,22.202301153130517,0.019261215764935644,-1.4065921378955695,-1.7209528065141755,-1.1142298355693252
cos_theta1,133,1.33,0.017246081745312742,0.0008505854513402026,20.275542825402677,0.017283929152139388,-1.318468170952631,-1.637791157880157,-1.0218769316890457
cos_theta1,141,1.41,0.01571096539436705,0.0008554478970929035,18.3657770949676,0.015548993209159243,-1.2481455524432747,-1.5232552562474688,-0.9984767330262124
cos_theta1,150,1.5,0.01411429034122295,0.0008358871210294909,16.885402330208873,0.013649538118407899,-1.2593966407986459,-1.5524199581629157,-1.0001967072419304
cos_theta1,158,1.58,0.012779635146248131,0.000787915666735672,16.219546946177694,0.012282345911128603,-1.210771534633695,-1.6065129597740786,-0.8585202113930637
cos_theta1,168,1.68,0.011098346665799437,0.0007799971841813859,14.22870093748768,0.01059116457064562,-1.2676948309533822,-1.7779353737607717,-0.8169235138314358
cos_theta1,178,1.78,0.01003795525349264,0.0007628654514263721,13.158224998555268,0.009198004674935785,-1.528377331934178,-2.1140255022246124,-1.0521132802958677
cos_theta1,188,1.8800000000000001,0.008718644231165862,0.0008169442901392571,10.67226289038592,0.007598853128486004,-1.4654119994188337,-2.1464350242677726,-0.9305936619121443
cos_theta1,200,2.0,0.0067256893130884735,0.0008248906948489698,8.15343093950149,0.0055854816206537174,-1.3956325059972028,-2.1231153667225744,-0.8777791721461665
cos_theta1,211,2.11,0.005910136859626593,0.0008735985790629233,6.7652775557009,0.004755494927572532,-1.1967808327367049,-1.871957589854048,-0.6836542770024744
cos_theta1,224,2.24,0.005282410252379417,0.0008402581851734498,6.286651347869939,0.0041674864584937635,-1.0995983431465195,-2.057835490652564,-0.4514780148223049
cos_theta1,237,2.37,0.004850302818064467,0.0008319042468745208,5.830361891151706,0.004208894333986898,-1.455589269556358,-3.4049951616644107,-0.6439686419825865
cos_theta1,251,2.5100000000000002,0.003838721104090926,0.000876268220241967,4.380760382969186,0.0038020935745569128,-1.7195986154248213,-4.4090001711669515,-0.7494322858461866
cos_theta1,266,2.66,0.002654071537626136,0.0009108896906261697,2.9137134440523274,0.0026935615108829893,-1.7359255254439476,-4.612979485774672,-0.6755402486158851
cos_theta1,282,2.82,0.0019484131728963873,0.0009308028513105117,2.0932608555647896,0.0019064115384118492,-1.5359447023612727,-4.784562153475219,-0.21601150027257512
cos_theta1,299,2.99,0.001653290118857583,0.000926952630389395,1.783575626904546,0.001933106219000288,-1.0833463185927552,-4.224937537219695,0.7544079515849065
cos_theta1,316,3.16,0.001414498722740453,0.000869688875086351,1.6264422407381123,0.0011824933239078103,0.2933667575622404,-1.266348546619724,2.5469641119538156
cos_theta1,335,3.35,0.0012568215196201132,0.0008027911958768165,1.5655646525213824,0.001337391022546456,0.9141552737998969,-0.25518726249109114,3.515245864086751
cos_theta1,355,3.5500000000000003,0.002413729391650056,0.0008489638905542623,2.843147298142689,0.0020805144656251646,0.4743195627762344,-1.3112654336373764,2.8756018307749343
cos_theta1,376,3.7600000000000002,0.0033423256756941904,0.0009521070291666495,3.510451633383725,0.0033662134768653973,-0.6906076146852473,-3.228422602102741,1.9059542904885314
cos_theta1,398,3.98,0.0020869783415697566,0.0009749950562983772,2.140501460072101,0.002293160035608909,-1.251647600743392,-4.089783888991851,0.28543549272511864
cos_theta1,422,4.22,0.0006891869604002937,0.0009097044075038397,0.7575943951853227,0.0011462690372962274,-0.7883107760384475,-2.6807677402598076,0.1491300890350039
cos_theta1,447,4.47,0.0007631178711179208,0.0008382178450429368,0.9104051836057377,0.00155640639427481,-0.13238141471357145,-1.864157791812753,1.594918219089518
cos_theta1,473,4.73,0.0015558241761023724,0.0009341558125436053,1.6654868012500306,0.0015177206739386943,1.0709853224374954,-0.512179882748452,3.209143933621859
cos_theta1,501,5.01,0.001820961017103268,0.0009661780720846016,1.8847053868386894,0.0012996782742637917,0.849449673315039,-0.7152659819227759,3.0556636554533356
cos_theta1,531,5.3100000000000005,0.0022147317875938688,0.0009387532582754798,2.359226738304379,0.0026065382565302287,0.05781570365101227,-1.6266879041422606,1.699336786867242
cos_theta1,562,5.62,0.002026934085028775,0.0009200598972004832,2.203045792123142,0.001824446186990158,-0.27809079312806295,-2.038251681850127,1.0861269678561485
cos_theta1,596,5.96,0.0016704929082147983,0.0009075702904332993,1.84062096988351,0.0010685362552842349,-1.3333548887567686,-3.0075816150893138,0.3774633127172608
cos_theta1,631,6.3100000000000005,0.0012685142859032567,0.0009300467011814503,1.3639253644917473,0.0025140921782092697,nan,-3.3591035490226515,-0.23671617897982972
cos_theta1,668,6.68,0.00035644872065496104,0.0009482571488603721,0.3758987961054085,0.0011291491907909552,nan,-2.763796549130595,0.5697220207758267
cos_theta1,708,7.08,-0.0010717699745833944,0.0009513090977550128,-1.1266264320531112,-0.0008113615565651902,-1.1117305968558844,-1.9859523321240007,0.993760740757319
cos_theta1,750,7.5,-0.0005397143765348023,0.0010173130562364345,-0.5305292930491663,-0.00020539023098233443,0.4119384405803096,-1.4636537958288713,1.9127698070152088
cos_theta1,794,7.94,0.00020715778890807832,0.001008872601823987,0.20533592500534584,-2.0293456039485255e-05,nan,-1.5712193582323999,1.8901688409071409
cos_theta1,841,8.41,0.000726939961801896,0.0009580670195192754,0.758756900082678,0.0008934296269839884,nan,-1.719689262804762,1.7299988829399195
cos_theta1,891,8.91,-0.0001662926582053163,0.000976751378709407,-0.17025075349782534,-0.0010122934110096903,nan,-1.6621013250080077,0.8737307254403675
cos_theta1,944,9.44,-4.4050983067710014e-05,0.0008204705147904994,-0.053689903870534676,-0.0008054030781567079,nan,nan,nan
cos_theta1,1000,10.0,-0.001122947991676781,0.0008269592031899342,-1.3579242934174889,-0.0015466267685563509,nan,nan,nan
sin_theta1,0,0.0,0.4678071910426427,0.0006952329223782401,672.8783634733181,0.46750396302360764,nan,nan,nan
sin_theta1,1,0.01,0.44814140323097007,0.000696032789597184,643.8509937014943,0.44786175827985564,nan,nan,nan
sin_theta1,2,0.02,0.429443353766987,0.0007123872824431998,602.8228806867106,0.42916685220008927,-4.695157293603713,-4.740164542582303,-4.6519785013867905
sin_theta1,3,0.03,0.40928313621350865,0.0007405233453068857,552.6944407726871,0.4090234535859374,-5.124240372879502,-5.172440789795497,-5.078594260482812
sin_theta1,4,0.04,0.3877070134230198,0.0007764281330387826,499.3469413654719,0.3874533222639846,-5.704813850101835,-5.757564098969085,-5.654664060247215
sin_theta1,5,0.05,0.3650882845849165,0.0008127488540070071,449.20184480723844,0.36484258262838565,-6.289395461989315,-6.347756406732928,-6.235314307004316
sin_theta1,6,0.06,0.3418244461558731,0.0008450809536506812,404.48722063752496,0.34158212326508874,-6.856351313470457,-6.919458228568841,-6.798719375398259
sin_theta1,7,0.07,0.31824813035097155,0.0008736797908870527,364.261750896003,0.31799845499722246,-7.410271066994324,-7.477207609700271,-7.348998734831052
sin_theta1,8,0.08,0.2947111964699094,0.0008976017737867383,328.33178930407286,0.2944498245762713,-7.951969268059004,-8.02400542499922,-7.887816051583415
sin_theta1,9,0.09,0.2714365355667982,0.0009119387787413758,297.64776089621375,0.2711848360705402,-8.482600588614076,-8.561392383948302,-8.411329472994739
sin_theta1,10,0.1,0.2486928296858796,0.0009202582622856684,270.2424307152592,0.24842141242495533,-9.01402364795931,-9.09942829237456,-8.937384099290847
sin_theta1,11,0.11,0.22667728162289758,0.00092833029621156,244.17740382700964,0.2264151949676624,-9.560357032673492,-9.65576397109211,-9.475571284163085
sin_theta1,12,0.12,0.20549771936117817,0.0009240128082238403,222.39704637448787,0.20523524721289535,-10.134059936127347,-10.239267395024262,-10.038289735253176
sin_theta1,13,0.13,0.18517736137116672,0.0009145772744433287,202.47317153586363,0.18490942011509182,-10.754580559759916,-10.87212452774133,-10.649097878623179
sin_theta1,14,0.14,0.16581224960210167,0.0009062597880592299,182.96326482408682,0.16554520949836857,-11.431325272715224,-11.563370050458332,-11.311862878871812
sin_theta1,15,0.15,0.14742861856417394,0.0008929900542316579,165.09547655715355,0.14714365705416907,-12.18001940143368,-12.331208646645829,-12.0409646941341
sin_theta1,16,0.16,0.13008419894187245,0.000879104066684147,147.9736061653442,0.12977507283306217,-13.032776357817523,-13.208097887902273,-12.8758256817668
sin_theta1,17,0.17,0.11376254072276058,0.0008580422540375108,132.58384442893328,0.11344821172086927,-14.01914370968507,-14.233522607228442,-13.833701313638265
sin_theta1,18,0.18,0.0984496320312301,0.0008346839869935857,117.94838952863086,0.09813102377033596,-15.211991229182372,-15.479842000151264,-14.98307537762856
sin_theta1,19,0.19,0.08414810224368492,0.0008113604509604671,103.7123539162805,0.08384014581097679,-16.707819570446254,-17.05496364782599,-16.413814139184684
sin_theta1,20,0.2,0.0707889047465536,0.0007920174890885668,89.37795657519587,0.07050943498900555,-18.62897608686642,-19.09493204899716,-18.241401350947665
sin_theta1,21,0.21,0.058311569249016135,0.0007803464632026197,74.72523039279199,0.05807219615168368,-23.422122670555638,-24.280131805322824,-22.701231350068987
sin_theta1,22,0.22,0.04672998445154538,0.0007698566397691047,60.69959267424209,0.04652766653875229,-28.602881370396492,-30.050343180770923,-27.435415707534165
sin_theta1,24,0.24,0.026087916422065024,0.000747359701874824,34.9067742836829,0.025946325223962594,-70.87858680269262,-113.73409619643263,-54.931576645768054
sin_theta1,25,0.25,0.016937976096779914,0.0007372446271561684,22.9747026602501,0.01683163602786076,nan,nan,nan
sin_theta1,27,0.27,0.0008295144983256144,0.000716413035550975,1.1578718660355698,0.0008298500731729679,nan,nan,nan
sin_theta1,28,0.28,-0.006216919901623553,0.0007080729644260916,-8.780055465982239,-0.006142706381268986,nan,nan,nan
sin_theta1,30,0.3,-0.01844555743287936,0.0006954096739821756,-26.5247351640267,-0.01824913133637386,nan,nan,nan
sin_theta1,32,0.32,-0.02838727910714477,0.0006820151769450426,-41.62265015025061,-0.02809853747851017,nan,nan,nan
sin_theta1,33,0.33,-0.03265356721440422,0.0006768246576245873,-48.24523877278138,-0.03233623887687174,nan,nan,nan
sin_theta1,35,0.35000000000000003,-0.03976584016542135,0.0006873388413395226,-57.854783948952395,-0.03938072012835414,nan,nan,nan
sin_theta1,38,0.38,-0.047381705032142604,0.0007015229519973437,-67.54120431446984,-0.04687362366284533,nan,nan,nan
sin_theta1,40,0.4,-0.05079268981257549,0.0007197247770510161,-70.57237909842745,-0.050153834409943594,nan,nan,nan
sin_theta1,42,0.42,-0.053072066211051254,0.0007353593533330423,-72.17160694359872,-0.05235289137156169,nan,nan,nan
sin_theta1,45,0.45,-0.05492764438659942,0.0007647484910032408,-71.8244560568432,-0.0541264063940413,nan,nan,nan
sin_theta1,47,0.47000000000000003,-0.055240039549894725,0.0007907635016637641,-69.85658725228193,-0.054404579398997475,nan,nan,nan
sin_theta1,50,0.5,-0.05471249171831826,0.0008336804551715594,-65.62765311207785,-0.05392663528517951,nan,nan,nan
sin_theta1,53,0.53,-0.05320620794953496,0.0008425284032222333,-63.15064008055855,-0.052515929210763174,nan,nan,nan
sin_theta1,56,0.56,-0.05099089918183734,0.0008356735608891968,-61.01772458563913,-0.05040088799299779,nan,nan,nan
sin_theta1,60,0.6,-0.04742368159829883,0.0008191415564335553,-57.89436664009074,-0.04698843465372457,nan,nan,nan
sin_theta1,63,0.63,-0.04431012023844756,0.0008175851721288778,-54.19633543875336,-0.044022246219302584,nan,nan,nan
sin_theta1,67,0.67,-0.039531780717556586,0.000815236977801159,-48.49115262678702,-0.03941014047822589,nan,nan,nan
sin_theta1,71,0.71,-0.03443040894757192,0.0008082496708144789,-42.59872931698958,-0.03435671983068457,nan,nan,nan
sin_theta1,75,0.75,-0.029317058406336173,0.0007864450229559305,-37.277950207053436,-0.02925032900677322,nan,nan,nan
sin_theta1,79,0.79,-0.024653335751673944,0.000759264094485496,-32.47004030709487,-0.024598467578995375,nan,nan,nan
sin_theta1,84,0.84,-0.01965880314073316,0.0007003232914857687,-28.07104001785531,-0.019581163813157314,nan,nan,nan
sin_theta1,89,0.89,-0.015406964628927029,0.0006262057055329256,-24.603679737818897,-0.015264572490569355,nan,nan,nan
sin_theta1,94,0.9400000000000001,-0.011666975228219904,0.0005832521600515609,-20.00331250755851,-0.011508619891469752,nan,nan,nan
sin_theta1,100,1.0,-0.008135720259775124,0.0005655377297905006,-14.38581341476358,-0.007927235393155856,nan,nan,nan
sin_theta1,106,1.06,-0.005531673324604213,0.000627385718779023,-8.817021425622492,-0.005313416869354565,nan,nan,nan
sin_theta1,112,1.12,-0.003350384947594201,0.0007054810165595779,-4.749078811408756,-0.0031841452044489636,nan,nan,nan
sin_theta1,119,1.19,-0.0015717674530007898,0.0008246000363041936,-1.9060967545494594,-0.0015225454998584042,nan,nan,nan
sin_theta1,126,1.26,-0.0007816140608908009,0.000867361568982686,-0.9011398346914805,-0.0008925178828755502,nan,nan,nan
sin_theta1,133,1.33,-0.0005162561706613647,0.0007984382334193105,-0.6465824769569193,-0.0008676058815346391,nan,-8.499860626394778,9.82720092453479
sin_theta1,141,1.41,-0.0003461975626659896,0.0007324061671242062,-0.4726852096635598,-0.0008962507797731116,nan,-8.478740145220213,11.40352141201293
sin_theta1,150,1.5,0.0002126518622903768,0.0007137097787196382,0.2979528495067901,-0.0004918791016379826,nan,-8.283319342721615,10.669406574969086
sin_theta1,158,1.58,0.000586041621444622,0.0006863054352211971,0.8539078832382263,0.00029978768891686646,nan,-7.040630683975125,11.098266983586848
sin_theta1,168,1.68,0.0002241281492241518,0.000734102685537038,0.3053089896547501,0.000798540837704739,1.5106165430479281,-8.855259967656712,9.185036943740528
sin_theta1,178,1.78,0.0003239068007875201,0.0007442024405786205,0.4352401754228073,0.0011547378236379485,nan,-8.1586894706646,6.301023894610418
sin_theta1,188,1.8800000000000001,0.00037754533929019074,0.0007256000481212424,0.520321546653351,0.0010933864212916149,-0.625547438363521,-7.821974824718434,7.548809103204783
sin_theta1,200,2.0,-5.7253409003255094e-06,0.0007719539832607668,-0.0074166867772887494,0.00012723232332814542,nan,-9.103957904958715,6.323081010312071
sin_theta1,211,2.11,0.00017126851439013539,0.0007687668092395681,0.22278344009095166,-9.113241961340978e-05,nan,-7.06670913675424,6.894586563151009
sin_theta1,224,2.24,-0.000523520514761161,0.000715564272373914,-0.7316191360761487,-0.0006197619779005687,nan,-6.697446807471242,6.371489904069289
sin_theta1,237,2.37,-0.00041755607136349023,0.0008114237900975039,-0.5145967821738564,-0.00028443283527834393,-1.7478814795199964,-6.594156756985944,5.970983875986968
sin_theta1,251,2.5100000000000002,0.00022863331682811719,0.0006611992134436561,0.3457858269935769,0.0005714978934361526,nan,-4.2607890176945435,7.519160334213975
sin_theta1,266,2.66,6.549002040404316e-05,0.000744509502610691,0.0879639818892793,0.00039290380890831837,nan,-3.7578893681809884,5.902282919157142
sin_theta1,282,2.82,0.0008916789668420243,0.0007491947884186977,1.1901830880645385,0.001025404562276341,1.8544787417027608,-3.741036531011485,5.396004552206222
sin_theta1,299,2.99,0.0006217965398959475,0.0006371268402170788,0.9759383856503235,0.00023056997202009201,0.9386320737887136,-5.314522477078273,4.793511536697106
sin_theta1,316,3.16,0.0007632080484589446,0.0007538504773494542,1.0124130333410304,-0.00014040724408443,nan,-5.572624979500311,2.6490182153352073
sin_theta1,335,3.35,0.00012515511671542105,0.0006603002615879372,0.18954273380785747,-0.00016229627975829122,nan,-5.397153467329941,3.6188298554043046
sin_theta1,355,3.5500000000000003,-0.0002884247692903014,0.0005983124199473073,-0.4820638176217412,-7.211303902540081e-05,nan,-5.000905001963158,3.1783170669470064
sin_theta1,376,3.7600000000000002,-0.000568428468097934,0.0007030545237407782,-0.8085126386406953,0.00018174058051095306,nan,-2.0863437572147996,1.864590860638421
sin_theta1,398,3.98,-0.0002801177153096947,0.0007446899244459507,-0.3761534916940125,0.0004115429879410526,nan,-2.950543481362413,3.4817269741995247
sin_theta1,422,4.22,-0.0015683591300458097,0.0007792718151497722,-2.0125957330362048,-0.0015004529601185,nan,-2.2918185573582086,4.704451275081332
sin_theta1,447,4.47,-2.227255530050097e-05,0.0008161116926392768,-0.02729106260991348,4.139412633507377e-05,nan,-2.508033023337961,3.545830876705051
sin_theta1,473,4.73,0.0002869026190188719,0.0008223038694124532,0.34890097163700273,0.0002725047316821341,nan,-2.149236841040521,3.1730062739992926
sin_theta1,501,5.01,-0.00012733929445785675,0.0008650275036161148,-0.14720837652621951,-0.00043745754831327774,nan,-2.217247777774925,2.7541387391851404
sin_theta1,531,5.3100000000000005,-0.0002466535502061708,0.0007927894197648109,-0.3111211427106874,0.0005092476787958872,-0.5139342303700111,-2.7347672568338295,2.5450107440735867
sin_theta1,562,5.62,0.0002724880522697593,0.0007622550512100847,0.35747621722831857,-0.00023267788407293122,nan,-0.6409043045915901,3.254137931809503
sin_theta1,596,5.96,0.0001524754726869618,0.0007861094716767216,0.1939621365479051,-0.0002523846273067656,nan,-3.233891150126528,2.2321047039649646
sin_theta1,631,6.3100000000000005,0.0016785009998197906,0.0006265589326481082,2.678919591371432,0.001628979409097057,nan,-2.852653659769511,2.2179594659668567
sin_theta1,668,6.68,-0.0011316360501571086,0.0007467788333627404,-1.5153563539841624,-0.000652512647742517,nan,-1.8029017694436504,2.026685000183798
sin_theta1,708,7.08,-0.0006050143904800159,0.0006888243052325971,-0.8783290396173218,-0.0008898897831318085,nan,-2.9232039918606607,0.3835996995329864
sin_theta1,750,7.5,-0.0007909967343979645,0.0006965581456848355,-1.1355789022038925,-0.00101966952075741,nan,-0.9292170375698358,2.5906430208992055
sin_theta1,794,7.94,-0.000690664222603997,0.0006928325598620991,-0.9968703300281764,-0.000853241523875334,nan,-2.4906097054493794,1.431209576264679
sin_theta1,841,8.41,0.0012085033810994867,0.0006723396415008519,1.7974596565535925,0.0013856194249650719,nan,-1.678169994374906,1.988347111634904
