case,observable,status,fit_start,fit_end,lambda_R,lambda_R_ci_low,lambda_R_ci_high,lambda_I,lambda_I_ci_low,lambda_I_ci_high,bootstrap_accept,frequency_half_cycle_threshold,delta_AIC_damped_minus_exponential,lambda_I_resolved
driven_dt2p5e-4,cos_theta1,FIT,1.0,3.7600000000000002,-1.35373078618066,nan,nan,7.371314665923613e-10,nan,nan,0,1.1382582078223886,3.99999999999811,0
driven_dt2p5e-4,sin_theta1,UNRESOLVED,,,,,,,,,,,,
driven_dt2p5e-4,cos_theta3,FIT,1.0,2.99,-0.9946795027490536,nan,nan,1.655632417270218e-05,nan,nan,0,1.5786897756732627,3.917051886078177,0
driven_dt2p5e-4,sin_theta3,UNRESOLVED,,,,,,,,,,,,
driven_dt2p5e-4,cos_theta1_minus_theta3,FIT,1.0,1.8800000000000001,-1.57472839783771,nan,nan,2.1897568138628188e-07,nan,nan,0,3.5699916518065824,4.000000000013392,0
driven_dt2p5e-4,I2,FIT,1.0,3.98,-1.02827520886889,nan,nan,0.001816132254844294,nan,nan,0,1.0542257226811387,3.521441608915481,0
driven_dt2p5e-4,I1_plus_I3,FIT,1.0,3.98,-0.9510367585312759,nan,nan,7.920520747662497e-10,nan,nan,0,1.0542257226811387,3.9999999999996643,0
driven_dt2p5e-4,I1_minus_I3,UNRESOLVED,,,,,,,,,,,,
driven_dt2p5e-4,cos_even_sum,FIT,1.0,3.7600000000000002,-1.1905114836157793,nan,nan,5.313725871982552e-10,nan,nan,0,1.1382582078223886,3.999999999999943,0
driven_dt2p5e-4,cos_odd_diff,UNRESOLVED,,,,,,,,,,,,
driven_dt2p5e-4,sin_even_sum,UNRESOLVED,,,,,,,,,,,,
driven_dt2p5e-4,sin_odd_diff,UNRESOLVED,,,,,,,,,,,,
