case,observable,mean_g,C0,significant_monotonicity_violations,supported_negative_lag_count,first_supported_negative_time
driven_dt2p5e-4,cos_theta1,-0.21150082492263844,0.48380652260090123,31,0,
driven_dt2p5e-4,sin_theta1,0.06044573945389706,0.4678071910426427,104,88,0.28
driven_dt2p5e-4,cos_theta3,-0.17867780275467782,0.4893388869198829,10,0,
driven_dt2p5e-4,sin_theta3,-0.04717757609274084,0.47650963220827924,115,118,0.22
driven_dt2p5e-4,cos_theta1_minus_theta3,0.04951128309388729,0.49857363640098606,17,0,
driven_dt2p5e-4,I2,1.711098404927044,2.5473509677288475,32,0,
driven_dt2p5e-4,I1_plus_I3,2.9681841918957867,3.091356790394519,27,0,
driven_dt2p5e-4,I1_minus_I3,-0.3237936390059214,5.106234412399814,47,44,0.43
driven_dt2p5e-4,cos_even_sum,-0.39017862766299694,0.9995195767248324,13,0,
driven_dt2p5e-4,cos_odd_diff,-0.032823022181463,0.9467712423058446,23,8,0.65
driven_dt2p5e-4,sin_even_sum,0.013268163368593551,0.9470875838645536,113,131,0.18
driven_dt2p5e-4,sin_odd_diff,0.10762331554285695,0.9415460626104709,82,81,0.34
