case,observable,status,fit_start,fit_end,n_time_points,lambda_R,lambda_R_ci_low,lambda_R_ci_high,lambda_I,lambda_I_ci_low,lambda_I_ci_high,period,period_ci_low,period_ci_high,delta_AIC_damped_minus_exponential,bootstrap_accept,half_cycle_threshold,oscillation_resolved,mean_correlation_first_zero,fitted_first_zero,fitted_first_zero_ci_low,fitted_first_zero_ci_high,historical_reference_lambda_I,historical_reference_period
driven_dt1e-3,I1_minus_I3,FIT,0.05,1.0,96,-5.024372330411756,-5.249418671092854,-4.824945848446121,5.400912262786367,5.249526413413908,5.540378766943595,1.163356300096245,1.1340714365356952,1.1969051705548925,-522.2874454375715,2000,3.306939635357677,1,0.42056312661837314,0.418438721499128,0.4117341357038892,0.42544594859384083,5.35,1.1744271602204834
driven_dt1e-3,cos_odd_diff,FIT,0.05,1.0,96,-6.61060828622752,-7.073820090890109,-6.16111779588108,3.646357417416402,3.4686842433790153,3.777142669690993,1.7231402706626298,1.6634757690245288,1.8114030757261512,-299.05137738535825,2000,3.306939635357677,1,0.5401979432648211,0.5634838929819272,0.5388232726791204,0.5970613165683385,5.35,1.1744271602204834
driven_dt1e-3,sin_odd_diff,FIT,0.05,1.0,96,-3.3903025594717286,-3.4320821953293503,-3.347076520111289,4.000690991160357,3.909140374919693,4.091612769716868,1.5705250220680544,1.5356255982196407,1.6073061349987117,-728.8896398487415,2000,3.306939635357677,1,0.3314588295339698,0.3305152236197426,0.32837213550528827,0.33263674111535074,5.35,1.1744271602204834
driven_dt2p5e-4,I1_minus_I3,FIT,0.05,1.0,96,-5.002976824269714,-5.263650565943325,-4.781969235409841,5.4996904921446035,5.341953840669616,5.648638975661641,1.1424616196409736,1.1123361457958318,1.1761961062531359,-515.6466998408699,2000,3.306939635357677,1,0.4154542183548479,0.41283506042265616,0.40678743934724115,0.41946050313663347,5.35,1.1744271602204834
driven_dt2p5e-4,cos_odd_diff,FIT,0.05,1.0,96,-6.339202245733961,-6.962453004459133,-5.833673431400758,3.318408783293008,3.087428996994839,3.4923633705801156,1.8934331836430638,1.7991212942242858,2.035086576337577,-327.14813896151384,2000,3.306939635357677,1,0.5557546400860824,0.5788527986705032,0.5469570563995914,0.6294359098518485,5.35,1.1744271602204834
driven_dt2p5e-4,sin_odd_diff,FIT,0.05,1.0,96,-3.3971366903540514,-3.4382654594622966,-3.3583630733790457,4.007459721179251,3.918583284106681,4.099071979573697,1.5678723541432553,1.5328311721505892,1.6034328867433942,-689.545819619784,2000,3.306939635357677,1,0.32900238591786424,0.3281540848512019,0.32576014255014,0.33056894532912157,5.35,1.1744271602204834
equilibrium_dt1e-3,I1_minus_I3,FIT,0.05,1.0,96,-4.140941792616256,-4.247471327217068,-4.043634815463581,5.0809735907636755,4.934280714858598,5.228440012724176,1.2366105028771104,1.2017323124848964,1.273374108663707,-688.1418592799107,2000,3.306939635357677,1,0.3892328400712422,0.39122094161851684,0.38640697665940094,0.39618367207608207,5.35,1.1744271602204834
equilibrium_dt1e-3,cos_odd_diff,FIT,0.05,1.0,96,-5.450002282744268,-5.771550645926452,-5.162645361046308,3.4098071442039948,3.173596799127875,3.6265170103106654,1.8426805509689228,1.732567444000859,1.9798309945693942,-390.0384709195158,2000,3.306939635357677,1,0.4857719269831821,0.49492010347613646,0.48121368174072876,0.5096913190280149,5.35,1.1744271602204834
equilibrium_dt1e-3,sin_odd_diff,FIT,0.05,1.0,96,-3.5274654046562826,-3.579237759587515,-3.4763715260799337,4.3691062325887255,4.2719447840296105,4.467497804424175,1.4380939653776181,1.4064215769635815,1.4708020877678167,-703.7138462165163,2000,3.306939635357677,1,0.3151527050543424,0.3152786061815879,0.3128104257661606,0.31762454645879296,5.35,1.1744271602204834
equilibrium_dt2p5e-4,I1_minus_I3,FIT,0.05,1.0,96,-4.184464204005173,-4.326011911686808,-4.057983326657162,5.263668093703114,5.130599144369664,5.386856706683514,1.1936894947263323,1.1663917659781056,1.2246494279473723,-878.1238901837298,2000,3.306939635357677,1,0.3878408362517058,0.3881943426468966,0.38393788673223095,0.3926721638638909,5.35,1.1744271602204834
equilibrium_dt2p5e-4,cos_odd_diff,FIT,0.05,1.0,96,-5.569467399074131,-5.912806353471279,-5.2754465165713755,3.4751828445449586,3.229626571641102,3.6941180646938285,1.8080157471548257,1.7008620723930061,1.9454835312389844,-344.45305865278095,2000,3.306939635357677,1,0.48316161254290546,0.49604076194296975,0.4818307171037272,0.5121589480164729,5.35,1.1744271602204834
equilibrium_dt2p5e-4,sin_odd_diff,FIT,0.05,1.0,96,-3.520435480521008,-3.5633554015276308,-3.473604375536956,4.471883871762893,4.372845122328024,4.570067039113269,1.4050421449568293,1.3748562665283601,1.4368643597956956,-709.4281774983605,2000,3.306939635357677,1,0.3160267697224159,0.31556543856126174,0.31358258837416414,0.31755288287519995,5.35,1.1744271602204834
