case,observable,C0,plateau_start,plateau_end,lambda_R,ci_low,ci_high,bootstrap_accept,tau_int,tau_truncated_at_t10,effective_count,stationarity_rms_over_C0,stationarity_pass,last_supported_rate_time,last_supported_lambda_eff,late_dlambda_dt_last5
equilibrium_dt1e-3,cos_theta1,0.4901155828129298,,,,,,0,0.26093614244424734,0,122635.36856277872,0.0011579386316931093,1,2.82,-1.2069858078836502,-0.2855249586582919
equilibrium_dt1e-3,sin_theta1,0.47664956524415564,,,,,,0,0.09619845486007017,0,332645.67551055836,0.0005536350987371542,1,nan,nan,nan
equilibrium_dt1e-3,cos_theta3,0.48962828714627743,,,,,,0,0.2639686399679464,0,121226.52146817799,0.0011960584298562865,1,2.66,-1.949835031793516,-0.24651555005390893
equilibrium_dt1e-3,sin_theta3,0.4773282066487972,,,,,,0,0.0964512729904788,0,331773.7444808933,0.0005730911852523349,1,nan,nan,nan
equilibrium_dt1e-3,cos_theta1_minus_theta3,0.49977373383713586,,,,,,0,0.1321855707004004,0,242083.91150746885,0.000535320243468314,1,2.37,-0.8703219393576584,nan
equilibrium_dt1e-3,I2,2.361632583242262,1.0,1.8800000000000001,-0.9359756362119129,-0.9930121986610686,-0.8835664923591583,2000,0.5611238063654804,0,57028.412690723075,0.00157652401171245,1,4.22,-0.7278858961192313,0.06342904814249832
equilibrium_dt1e-3,I1_plus_I3,3.0014001927748226,1.0,2.24,-1.0840704808762351,-1.1670399331526287,-0.9996896534738101,2000,0.40676348375541715,0,78669.79529372229,0.000639760045233844,1,3.5500000000000003,-1.2525823774717277,-0.15774459649771147
equilibrium_dt1e-3,I1_minus_I3,4.918246170560778,,,,,,0,0.18032096460863947,0,177461.33994708472,0.0017996625417172195,1,nan,nan,nan
equilibrium_dt1e-3,cos_even_sum,0.9964313591874714,1.0,1.58,-1.250081247502848,-1.354481069464315,-1.1520978373042263,2000,0.38116301718723294,0,83953.58037655873,0.0006244128684549195,1,3.5500000000000003,-0.8841559707662741,0.043810953240158115
equilibrium_dt1e-3,cos_odd_diff,0.9630563807221232,,,,,,0,0.14256012469274293,0,224466.69479960809,0.00044944601454307437,1,nan,nan,nan
equilibrium_dt1e-3,sin_even_sum,0.9527518958157392,,,,,,0,0.07939609125324375,0,403042.51122302737,0.000725397197326815,1,nan,nan,nan
equilibrium_dt1e-3,sin_odd_diff,0.955203647933402,,,,,,0,0.12446469672903149,0,257101.01611918342,0.0008415601824366678,1,1.41,-2.887513467250274,nan
