observable,lag_index,time,C,SE_C,SNR_C,C_discard_first_quarter,lambda_eff,lambda_ci_low,lambda_ci_high
cos_theta1,0,0.0,0.4891178555678169,0.0006397819634566764,764.5071032092922,0.4895064410524549,nan,nan,nan
cos_theta1,1,0.01,0.458503447130236,0.0006545379870824133,700.499369294063,0.45871513827423893,nan,nan,nan
cos_theta1,2,0.02,0.43425040190419417,0.0006741516577182389,644.1434904632226,0.43439287614227257,-5.707294536691509,-5.745175958766546,-5.667937806232416
cos_theta1,3,0.03,0.4114131614017922,0.0006962447209633773,590.9030963028769,0.4114759659414819,-5.509621090116787,-5.546242217680258,-5.473456114417203
cos_theta1,4,0.04,0.38928498801831257,0.000713617879156788,545.5090173445378,0.3893269597056112,-5.597248493467453,-5.635402027714461,-5.557837907078953
cos_theta1,5,0.05,0.36781605635450687,0.0007326984082221782,502.00198639297844,0.3678144417366678,-5.708988111899117,-5.749460713084502,-5.668330916500769
cos_theta1,6,0.06,0.3471411226882451,0.0007527021186544287,461.1932318043869,0.3471111567240736,-5.800448368861091,-5.846254056636809,-5.755623511758262
cos_theta1,7,0.07,0.32741826256506956,0.0007689582350188643,425.79459800835247,0.32733673525254736,-5.857321016963169,-5.903906072204346,-5.811227811384675
cos_theta1,8,0.08,0.30867648602398634,0.0007886553325011741,391.39592836459616,0.3085935286091347,-5.8844023328275865,-5.9322003969434745,-5.836026237110688
cos_theta1,9,0.09,0.2909903559807114,0.0008005952326900795,363.4675102960017,0.2908777673742312,-5.883422316173088,-5.934656249055048,-5.834183097719762
cos_theta1,10,0.1,0.27433645679342405,0.0008157678971360538,336.29229313453874,0.2742138299671861,-5.851620986058727,-5.9067979341927135,-5.798663815144354
cos_theta1,11,0.11,0.2587601449440283,0.000827292537232091,312.7794985432523,0.258623258139832,-5.793564019205309,-5.850799968228188,-5.736905476152195
cos_theta1,12,0.12,0.2442589463768757,0.0008370319776482132,291.81554934515606,0.24411801706304648,-5.697032684348273,-5.758356058084436,-5.637522498010985
cos_theta1,13,0.13,0.23079908378592057,0.0008468789675830643,272.52900664732016,0.23068199924809488,-5.578698711264774,-5.641374234734884,-5.516324300757379
cos_theta1,14,0.14,0.21843183331989308,0.0008618606035660854,253.44218359221503,0.21833052640069858,-5.446358286460206,-5.513414889696368,-5.381048919187377
cos_theta1,15,0.15,0.207007205714306,0.0008754945861591384,236.44601461496458,0.20690932905479517,-5.302251181036009,-5.372960654787114,-5.232055591519275
cos_theta1,16,0.16,0.1964434466825998,0.0008829004541325824,222.4978430615922,0.19634697238330392,-5.159134059403017,-5.23364088016396,-5.087644606165673
cos_theta1,17,0.17,0.1866914992020817,0.0008841908721476218,211.14388881738225,0.18662464020180228,-5.009332516095859,-5.0847951621489775,-4.934803899766222
cos_theta1,18,0.18,0.17770211334033262,0.0008844589223125142,200.91618599506134,0.17767226620383636,-4.863372820873851,-4.9421307774681855,-4.785766127239017
cos_theta1,19,0.19,0.16941990905982535,0.0008816291929938495,192.1668547345928,0.16940399243159074,-4.726228055716488,-4.804951635035294,-4.6472442537589576
cos_theta1,20,0.2,0.16171567067391038,0.0008872219335377601,182.27194860825404,0.16170977712085316,-4.606975606944429,-4.684204521469041,-4.528490157689103
cos_theta1,21,0.21,0.15453311275674683,0.0008890958946022752,173.80927489927853,0.15454055729411625,-4.4589601938687204,-4.5380106763056,-4.378375029823278
cos_theta1,22,0.22,0.14779550621529625,0.000889114732638721,166.22771031660636,0.14784676339315858,-4.372768884743624,-4.453582935516288,-4.292983397664415
cos_theta1,24,0.24,0.13556243275412777,0.0009084879683131405,149.21764237102332,0.13567175501771125,-4.259090518869592,-4.342262385870287,-4.178400875068193
cos_theta1,25,0.25,0.12995668851466854,0.0009223804275395287,140.892721305168,0.13007826134375686,-4.184808096902413,-4.271996037592082,-4.100559089844536
cos_theta1,27,0.27,0.11968496084670098,0.000935893802796007,127.88305733956038,0.11977490330713891,-4.064527425684664,-4.151462303202261,-3.97686971315925
cos_theta1,28,0.28,0.1149780358761308,0.0009391307553632579,122.43027418653438,0.11505503405074297,-3.986903323886689,-4.069996607155553,-3.902477489729103
cos_theta1,30,0.3,0.1062251233266933,0.0009328427164852719,113.8724904525429,0.1062589375684673,-3.9147525524282654,-3.999479462864054,-3.8285380858747957
cos_theta1,32,0.32,0.09830923766995835,0.0009201718821723331,106.83790667225217,0.09829402893275607,-3.847786899073968,-3.934954469428286,-3.765213299466094
cos_theta1,33,0.33,0.09463030855356404,0.0009073539724939984,104.29260401368879,0.09457795762183234,-3.7347558769052815,-3.831146144340413,-3.639346415675521
cos_theta1,35,0.35000000000000003,0.08782937701314676,0.0008839882679393559,99.35581749052365,0.08773812612848127,-3.633839274508243,-3.7406569728722645,-3.5243153825145628
cos_theta1,38,0.38,0.07878953447737132,0.0008617513589114536,91.42954480152676,0.07879367066815522,-3.544915461653163,-3.657633450381297,-3.4287161670963955
cos_theta1,40,0.4,0.07350922106667358,0.000856971193159679,85.77793705718723,0.07354836708106624,-3.4090024154740792,-3.529828848081262,-3.2834137093389693
cos_theta1,42,0.42,0.06878154169301741,0.0008577924541289006,80.18436320107986,0.06887671365546692,-3.2332644727387967,-3.3573027548969896,-3.1021506099363987
cos_theta1,45,0.45,0.062458091339187845,0.0008618410423667756,72.47054650317688,0.06262005870429703,-3.05264953528107,-3.1748702446943016,-2.921351587545349
cos_theta1,47,0.47000000000000003,0.05889677729449,0.0008554080137603385,68.85226271797734,0.05907894821522126,-2.870525018906148,-2.9970906661681163,-2.733397546126004
cos_theta1,50,0.5,0.05417101037966487,0.0008362958856732146,64.7749334986354,0.054405135291341895,-2.610431638149841,-2.7551664860532523,-2.4681753696594653
cos_theta1,53,0.53,0.05015798216364148,0.0008259601783766192,60.72687700540761,0.0503997005488322,-2.3399692866439596,-2.496452396412564,-2.1896009419982625
cos_theta1,56,0.56,0.046868617408202314,0.0008207758452206381,57.1028225076522,0.047090415688621136,-2.1048782038859097,-2.2820223689623247,-1.9366368755837724
cos_theta1,60,0.6,0.04344910994982088,0.0008337416777448165,52.11339568311632,0.04364233083402852,-1.8485924783265857,-2.0285553630880804,-1.6681520324353336
cos_theta1,63,0.63,0.041203027431622526,0.0008574792698936705,48.0513394064113,0.041428686612797846,-1.5967854036374538,-1.7826012871520698,-1.4210848180759406
cos_theta1,67,0.67,0.038720714705924794,0.0008873365080014887,43.63701296719309,0.03892329210791788,-1.3561023854535006,-1.5367501350345982,-1.1851137426529552
cos_theta1,71,0.71,0.036885941987777636,0.0008936625997354685,41.2750203473841,0.036954012216124994,-1.1758131601583008,-1.3399573680495167,-1.0246420147763178
cos_theta1,75,0.75,0.0354518348060615,0.0008790935464092215,40.32771591927775,0.03538609323608532,-0.9921437735406909,-1.1657685994217049,-0.8269798126044223
cos_theta1,79,0.79,0.03413699280861877,0.0008578570710450727,39.79333383244349,0.0340244793423159,-0.8903671335964971,-1.077592430114811,-0.7075896224047663
cos_theta1,84,0.84,0.032710962914797415,0.0008414565670387007,38.87421430426956,0.03263995508062814,-0.8629020159379635,-1.0526150896246598,-0.682947196034041
cos_theta1,89,0.89,0.03142376389026197,0.0008334148742897851,37.70482728309895,0.03153951753052336,-0.8717793645470964,-1.0649874363231926,-0.683925120132957
cos_theta1,94,0.9400000000000001,0.030090924846743004,0.0008524895670704453,35.2977045222378,0.030377386991614044,-0.9641930792608673,-1.1738121008116928,-0.7680315098693975
cos_theta1,100,1.0,0.028426106413182637,0.0008389888185048671,33.88138886503853,0.02869039294261869,-1.0530551442232448,-1.2747848258861323,-0.8496364329290462
cos_theta1,106,1.06,0.026458773420254607,0.0008378899816394091,31.57786105579825,0.02647121191225573,-1.1680857818088435,-1.4090157676962283,-0.9364772840738967
cos_theta1,112,1.12,0.024664420394388115,0.0008598062882482104,28.686020015787495,0.02474352187230008,-1.231511905873387,-1.4800334667955422,-1.0015246895487144
cos_theta1,119,1.19,0.022470473999243075,0.0008855590935591468,25.374336012893377,0.022855416512640354,-1.2491167025349703,-1.5121853248094925,-1.0081014638643448
cos_theta1,126,1.26,0.02063760438581987,0.000853286317502407,24.186025209248303,0.02123514262937486,-1.2662640988257825,-1.5376395925499078,-0.9984273652764792
cos_theta1,133,1.33,0.01888421318729474,0.0008625887344758258,21.89248761609461,0.01940838266182514,-1.3042709456003647,-1.598801822809371,-1.0131454786851453
cos_theta1,141,1.41,0.017084047726925282,0.0008837455361826669,19.33141048804582,0.017618940809215777,-1.3977248606707346,-1.7250326985332836,-1.1033559955135834
cos_theta1,150,1.5,0.014997420019339043,0.0008866703284297325,16.91431362759036,0.015216259924002247,-1.3307583762181128,-1.6480273000301582,-1.0415705662224708
cos_theta1,158,1.58,0.013195065208910298,0.0008849237525798951,14.910962860293418,0.013272022736268698,-1.2983085674285797,-1.6504894336859368,-0.9959555514329996
cos_theta1,168,1.68,0.011852761284818034,0.0008256559960056603,14.355568592923749,0.011804722164688794,-1.092553155788939,-1.4879089366577511,-0.7360591158580387
cos_theta1,178,1.78,0.010567370266030966,0.0007619367726275561,13.869090777164033,0.010792579540385008,-0.8462222673529903,-1.3042267519840047,-0.43204495152665
cos_theta1,188,1.8800000000000001,0.009901715138004339,0.0007576886582703504,13.068316425123674,0.010227183556710063,-0.7687576503922848,-1.2600727468231636,-0.34144196728562937
cos_theta1,200,2.0,0.009248205748701178,0.0008433082866554118,10.966577579096091,0.009107437401251523,-0.5877838803679968,-0.9768090611094901,-0.251675847393432
cos_theta1,211,2.11,0.008516411533313761,0.0009039050326153598,9.421799001021563,0.008398614384320843,-0.4917646799351676,-0.8644112271169755,-0.15851223741126352
cos_theta1,224,2.24,0.008063844208175259,0.0008152855286192068,9.890822202906556,0.00814693472963428,-0.5706925812772419,-1.032419340500069,-0.15220894691514172
cos_theta1,237,2.37,0.007781454661744065,0.0007451631084505228,10.442619305086996,0.00791083799167397,-0.8308472240973471,-1.4766322045881972,-0.24174668968081983
cos_theta1,251,2.5100000000000002,0.006912810905636931,0.0007849956921340395,8.806176868110196,0.006753600622073534,-1.0840773409649993,-1.917598782841456,-0.4415343566849702
cos_theta1,266,2.66,0.005392607840555962,0.0008260104863454156,6.528498039310505,0.005310541408742417,-1.2793522318579458,-2.0403717356248428,-0.7417071829664237
cos_theta1,282,2.82,0.004300045198657539,0.0008819442264668228,4.875643005095742,0.004332421588984772,-1.2755826628000644,-2.270640789693691,-0.6453038330829126
cos_theta1,299,2.99,0.0035202954173713303,0.0007600844046389643,4.631453291090021,0.0037718710524119073,-0.9084560582751513,-2.1744613009528626,-0.15161242693206928
cos_theta1,316,3.16,0.003016953695883953,0.0007998857840821096,3.7717306094469327,0.0032985568505305217,-0.31598384075868735,-1.247758911762902,0.4630891283765209
cos_theta1,335,3.35,0.0028811641093656904,0.0009116339973667246,3.1604395159548657,0.0034509722515311276,-0.025104312623437704,-0.8043371736384451,0.6977324314630112
cos_theta1,355,3.5500000000000003,0.003414248226740554,0.0008027985233784817,4.252932868351698,0.004027776838279943,0.015531361442989697,-0.8676765940663304,0.8299754866749249
cos_theta1,376,3.7600000000000002,0.003452900459559823,0.0007306368572218889,4.725877739988148,0.004167656501189925,-0.6630457840072942,-2.6955365638735014,0.4568462782343545
cos_theta1,398,3.98,0.0030556224771449555,0.0008085882873453586,3.7789596077093055,0.003936692550488058,-1.5512375296947092,-4.071178252932622,-0.2898213033511802
cos_theta1,422,4.22,0.0016182488131600292,0.000803149871624753,2.014877758601082,0.002416677264156891,-1.0907584114405773,-3.14565576485538,-0.21394901293837776
cos_theta1,447,4.47,0.0008194014067113796,0.0008564308146832186,0.9567631064448147,0.0010111141774060727,-1.7660192573893196,-3.864287479370204,-0.3161380827937917
cos_theta1,473,4.73,0.001198629632897067,0.0007007857808167587,1.7104080386734966,0.0011367025002399875,-1.2519694218696242,-3.558928062763006,0.9371471357046508
cos_theta1,501,5.01,0.0004955849453000848,0.0007681265508747588,0.6451865838196872,0.0009096844429651415,-0.18545639778807602,-2.2674219033077594,2.0976039251898793
cos_theta1,531,5.3100000000000005,0.00041341552219237385,0.0007600766956924977,0.5439129031784291,0.00021943342235455736,-1.0484402710820346,-2.8307174221454114,1.1449740623094047
cos_theta1,562,5.62,0.000662022288906226,0.0007387249463520656,0.8961688544232752,0.0007122256684350402,0.3995915254889757,-1.7087387617994092,2.201048294149603
cos_theta1,596,5.96,0.0003300858186648649,0.0007428625476249575,0.4443430614724064,0.000995565004303599,0.41330514750006897,-1.8720438240394477,2.4523134916050497
cos_theta1,631,6.3100000000000005,0.0008331450492122265,0.0007886614356250229,1.0564039416380868,0.001666791254694243,-0.01811812476489856,-1.8406534475147924,1.9397391527722536
cos_theta1,668,6.68,0.0007282768368080876,0.0008941332734430754,0.8145059114103675,0.0016301092270902253,0.479083668143205,-1.6237295404037888,2.1250041770359553
cos_theta1,708,7.08,0.0006447397598359957,0.000944566601676282,0.682577341493764,0.001227634691616106,nan,-2.3864214882920396,1.0338374899841305
