case,observable,status,fit_start,fit_end,lambda_R,lambda_R_ci_low,lambda_R_ci_high,lambda_I,lambda_I_ci_low,lambda_I_ci_high,bootstrap_accept,frequency_half_cycle_threshold,delta_AIC_damped_minus_exponential,lambda_I_resolved
equilibrium_dt2p5e-4,cos_theta1,FIT,1.0,3.98,-1.0428603691815128,nan,nan,1.0285454764885788e-08,nan,nan,0,1.0542257226811387,4.000000000038,0
equilibrium_dt2p5e-4,sin_theta1,UNRESOLVED,,,,,,,,,,,,
equilibrium_dt2p5e-4,cos_theta3,FIT,1.0,3.16,-1.0246453431181928,nan,nan,3.191961509539509e-11,nan,nan,0,1.454441043328608,4.000000000000121,0
equilibrium_dt2p5e-4,sin_theta3,UNRESOLVED,,,,,,,,,,,,
equilibrium_dt2p5e-4,cos_theta1_minus_theta3,FIT,1.0,2.99,-0.9321565786824467,nan,nan,2.992650314519969e-07,nan,nan,0,1.5786897756732627,4.000000001815851,0
equilibrium_dt2p5e-4,I2,FIT,1.0,4.47,-0.8639295878708482,nan,nan,1.8236223721311268e-09,nan,nan,0,0.9053581134264534,4.0,0
equilibrium_dt2p5e-4,I1_plus_I3,FIT,1.0,3.98,-0.9525252917515202,nan,nan,5.706093416957743e-10,nan,nan,0,1.0542257226811387,4.000000000000092,0
equilibrium_dt2p5e-4,I1_minus_I3,UNRESOLVED,,,,,,,,,,,,
equilibrium_dt2p5e-4,cos_even_sum,FIT,1.0,3.98,-0.9841791335400396,nan,nan,1.0069785640779999e-08,nan,nan,0,1.0542257226811387,3.999999999999323,0
equilibrium_dt2p5e-4,cos_odd_diff,FIT,1.0,3.35,-2.111936559238549e-14,nan,nan,5.826101100843913e-05,nan,nan,0,1.3368479376977842,-22.605384035427733,0
equilibrium_dt2p5e-4,sin_even_sum,UNRESOLVED,,,,,,,,,,,,
equilibrium_dt2p5e-4,sin_odd_diff,UNRESOLVED,,,,,,,,,,,,
