case,observable,mean_g,C0,significant_monotonicity_violations,supported_negative_lag_count,first_supported_negative_time
equilibrium_dt2p5e-4,cos_theta1,-0.18373856082541637,0.4891178555678169,12,0,
equilibrium_dt2p5e-4,sin_theta1,-0.0010918731646976868,0.4771210934959255,81,81,0.24
equilibrium_dt2p5e-4,cos_theta3,-0.18531119032528048,0.48885030626490267,8,0,
equilibrium_dt2p5e-4,sin_theta3,0.0025594093268991682,0.4768029058982792,98,81,0.24
equilibrium_dt2p5e-4,cos_theta1_minus_theta3,0.04460554761577375,0.4998236585223042,27,0,
equilibrium_dt2p5e-4,I2,1.6868798873582715,2.41164119122832,19,0,
equilibrium_dt2p5e-4,I1_plus_I3,2.969299120991083,3.0232932900583784,26,0,
equilibrium_dt2p5e-4,I1_minus_I3,-0.0013829054561687027,4.96377508789631,64,54,0.4
equilibrium_dt2p5e-4,cos_even_sum,-0.36904975116516686,0.9952780221998075,11,0,
equilibrium_dt2p5e-4,cos_odd_diff,0.0015726295016124773,0.9606583014878812,66,75,0.51
equilibrium_dt2p5e-4,sin_even_sum,0.0014675361712254596,0.9577332005852647,53,134,0.18
equilibrium_dt2p5e-4,sin_odd_diff,-0.003651282490296999,0.9501147982826103,70,68,0.32
