case,observable,C0,plateau_start,plateau_end,lambda_R,ci_low,ci_high,bootstrap_accept,tau_int,tau_truncated_at_t10,effective_count,stationarity_rms_over_C0,stationarity_pass,last_supported_rate_time,last_supported_lambda_eff,late_dlambda_dt_last5
equilibrium_dt2p5e-4,cos_theta1,0.4891178555678169,,,,,,0,0.2730095861213998,0,117212.00143415655,0.0005319692268386235,1,3.98,-1.5512375296947092,nan
equilibrium_dt2p5e-4,sin_theta1,0.4771210934959255,,,,,,0,0.0959809144434155,0,333399.61580450716,0.0006629868053851573,1,nan,nan,nan
equilibrium_dt2p5e-4,cos_theta3,0.48885030626490267,1.58,2.5100000000000002,-1.0081334718924035,-1.3236274789355256,-0.7250575455531019,2000,0.26707821026584017,0,119815.09074869244,0.0012788245938427732,1,3.16,-2.371399575539094,-1.9721640757548717
equilibrium_dt2p5e-4,sin_theta3,0.4768029058982792,,,,,,0,0.09616752129856487,0,332752.67541368504,0.0009180542053836512,1,nan,nan,nan
equilibrium_dt2p5e-4,cos_theta1_minus_theta3,0.4998236585223042,,,,,,0,0.13646177129535367,0,234497.9088007013,0.0007234568601313814,1,2.99,-1.7322598785439831,nan
equilibrium_dt2p5e-4,I2,2.41164119122832,1.0,3.35,-0.8627195931761023,-0.9165408571669786,-0.8119019047598126,2000,0.5988273336756492,0,53437.774464270835,0.003098654884765014,1,4.47,-0.7038405402969069,0.3126259246727218
equilibrium_dt2p5e-4,I1_plus_I3,3.0232932900583784,1.0,1.8800000000000001,-1.0010003736800932,-1.0629294231258857,-0.9466036208058038,2000,0.4217270648320557,0,75878.45947886545,0.0013202442727003518,1,3.98,-1.411764970193201,-0.6379598115769004
equilibrium_dt2p5e-4,I1_minus_I3,4.96377508789631,,,,,,0,0.1804311674221416,0,177352.9510294191,0.0016491638230282297,1,1.26,-1.8100366340325755,nan
equilibrium_dt2p5e-4,cos_even_sum,0.9952780221998075,,,,,,0,0.3990227957415138,0,80195.9194850851,0.0021487009188745974,1,3.98,-2.073746144925635,-1.7822565318957753
equilibrium_dt2p5e-4,cos_odd_diff,0.9606583014878812,,,,,,0,0.14249288651818554,0,224572.6139874079,0.0011428292033714741,1,nan,nan,nan
equilibrium_dt2p5e-4,sin_even_sum,0.9577332005852647,,,,,,0,0.07923077994282574,0,403883.44054030185,0.0009153768512205668,1,nan,nan,nan
equilibrium_dt2p5e-4,sin_odd_diff,0.9501147982826103,,,,,,0,0.1246405257011487,0,256738.32663965638,0.0008883312080833094,1,1.26,-1.210786052624727,nan
