bath_case,observable,previous_lambda_R,previous_ci_low,previous_ci_high,previous_status,new_dt1e-3_lambda_R,new_dt1e-3_ci_low,new_dt1e-3_ci_high,new_dt2p5e-4_lambda_R,new_dt2p5e-4_ci_low,new_dt2p5e-4_ci_high,ci_overlap_between_timesteps,relative_timestep_difference,timestep_consistent
driven,cos_theta1,,,,UNRESOLVED,,,,,,,0,nan,0
driven,sin_theta1,,,,UNRESOLVED,,,,,,,0,nan,0
driven,cos_theta3,,,,UNRESOLVED,-0.9080200380173782,-1.1010246488486712,-0.7093990524972748,-1.0920785663588402,-1.2128581923266042,-0.9686111979657135,1,0.18404945430064465,1
driven,sin_theta3,,,,NOT_SAVED,,,,,,,0,nan,0
driven,cos_theta1_minus_theta3,,,,UNRESOLVED,,,,,,,0,nan,0
driven,I2,-0.9925655214,-1.05173726,-0.933658789,RESOLVED,-0.9440075863532579,-0.9906218180573125,-0.8998013955515076,-0.9351391254983286,-0.9975492145992482,-0.869741994393417,1,0.009438816883212832,1
driven,I1_plus_I3,-1.1088171245,-1.2013330743,-1.0228371013,RESOLVED,-0.9490674293858062,-1.0379818408154948,-0.8622288132708358,-1.0028390517829922,-1.0767909488966865,-0.9364436100344037,1,0.05509651503896596,1
driven,I1_minus_I3,,,,UNRESOLVED,,,,,,,0,nan,0
equilibrium,cos_theta1,-1.1878330875,-1.3607165857,-1.0159711099,RESOLVED,,,,,,,0,nan,0
equilibrium,sin_theta1,,,,UNRESOLVED,,,,,,,0,nan,0
equilibrium,cos_theta3,-1.1333583808,-1.336557293,-0.9464618584,RESOLVED,,,,-1.0081334718924035,-1.3236274789355256,-0.7250575455531019,0,nan,0
equilibrium,sin_theta3,,,,NOT_SAVED,,,,,,,0,nan,0
equilibrium,cos_theta1_minus_theta3,,,,UNRESOLVED,,,,,,,0,nan,0
equilibrium,I2,-0.9065189091,-0.9664823188,-0.8441868234,RESOLVED,-0.9359756362119129,-0.9930121986610686,-0.8835664923591583,-0.8627195931761023,-0.9165408571669786,-0.8119019047598126,1,0.08145464761224189,1
equilibrium,I1_plus_I3,,,,UNRESOLVED,-1.0840704808762351,-1.1670399331526287,-0.9996896534738101,-1.0010003736800932,-1.0629294231258857,-0.9466036208058038,1,0.07968084826912801,1
equilibrium,I1_minus_I3,,,,UNRESOLVED,,,,,,,0,nan,0
